
"Reference number","2025-00482362"
"Entity number","0413665705"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","PMH"
"Entity address street","Molenheidestraat"
"Entity address number","7"
"Entity postal code","3530"
"Entity city","Houthalen-Helchteren"
"Entity country","België"
"General assembly date","2025-06-16"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","8072856.85"
"9500","5124549.53"
"492/3","13709.35"
"1100/10","137.26"
"1341","7"
"454/9","360151.13"
"1213","20.7"
"1212","20"
"1211","9"
"10","902332.43"
"11","137.26"
"12","223104.17"
"13","1707859.58"
"14","734649.07"
"17","2099037.02"
"3","87237.55"
"1103","26.5"
"1102","21"
"1343","10.5"
"1101","15"
"1342","5"
"21","280673.82"
"22","0"
"23","229942.56"
"24","182688.05"
"25","104668.27"
"12132","1"
"12011","3"
"29","33576.15"
"75/76B","83626.11"
"9087","51.5"
"130","90233.24"
"132","793.26"
"133","1616833.08"
"1113","7.2"
"1112","8"
"1111","1"
"12013","6.4"
"12133","1"
"12012","4"
"8309","26253501.86"
"12022","2"
"12021","1"
"1011","26319"
"1003","51.5"
"1002","55.3"
"1001","15.7"
"12023","1.9"
"130/1","90233.24"
"8129P","160278.55"
"40","2292463.27"
"41","5780393.58"
"42","861118.91"
"43","741666.7"
"44","1525538.04"
"45","481291.26"
"1022","1541364.14"
"1021","858055.81"
"14P","546398.05"
"1013","73597"
"1012","47278"
"12112","10"
"8329","6330682.63"
"12111","5"
"12113","10.7"
"12121","2"
"22/27","517298.88"
"1023","2399419.95"
"12123","3.6"
"12002","3"
"12122","2"
"12001","3"
"12003","4.7"
"8199P","35123407.44"
"62","2399419.95"
"10/49","9775218.09"
"65","136729.06"
"21/28","797972.7"
"20/58","9775218.09"
"291","33576.15"
"10/11","902469.69"
"10/15","3568082.51"
"75","83626.11"
"76","1686.07"
"170/4","2099037.02"
"1003P","47"
"1053","33.7"
"1052","29"
"1051","16"
"12101","2"
"8912","1099184.8"
"8913","999852.22"
"12103","5.4"
"12102","7"
"450/3","121140.13"
"54/58","757161.56"
"630","409974.41"
"65/66B","136729.06"
"6502","0"
"8129","247638.69"
"8059P","480073.76"
"8329P","32261570.22"
"8029","48238.75"
"1013P","70962"
"9903","283682.25"
"9900","3280995.25"
"9901","336785.2"
"9906","734649.07"
"9904","188251.02"
"9905","188251.02"
"42/48","4094389.21"
"76A","1686.07"
"8279","322614.27"
"2053","1265.4"
"2052","1818"
"2051","4"
"892","0"
"440/4","1525538.04"
"8169","186808.86"
"47/48","484774.3"
"1023P","2263461.84"
"172/3","2099037.02"
"8179","28462234.79"
"8059","528312.51"
"640/8","134815.69"
"439","720000"
"490/1","26413.28"
"3053","1265.2"
"3052","1815"
"3051","5"
"30/36","87237.55"
"29/58","8977245.39"
"8079","87360.14"
"17/49","6207135.58"
"8199","6847981.51"
"430/8","21666.7"
"100","902332.43"
"1203","13"
"1323","23.2"
"1202","9"
"1322","24"
"1201","7"
"1321","9"
"902","0"
"67/77","95431.23"
