
"Reference number","2023-00035329"
"Entity number","0667642486"
"Accounting period start date","2021-07-01"
"Accounting period end date","2022-06-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","ZIMTOPIA"
"Entity address street","Ster"
"Entity address number","3"
"Entity address box","B"
"Entity postal code","4970"
"Entity city","Stavelot"
"Entity country","Belgique"
"General assembly date","2023-01-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","1695"
"492/3","861"
"110","1450000"
"14","-474359"
"17","3971684"
"3","3546"
"22","5300742"
"23","1148"
"24","15518"
"75/76B","104"
"8309","1358"
"40","762"
"41","933"
"42","130222"
"44","13476"
"45","3325"
"14P","-407331"
"8329","1118613"
"22/27","5317408"
"8199P","6410314"
"10/49","5363041"
"65","18289"
"21/28","5317408"
"20/58","5363041"
"10/11","1450000"
"10/15","975641"
"75","104"
"170/4","1221684"
"178/9","2750000"
"450/3","3325"
"54/58","38104"
"630","216770"
"65/66B","18289"
"8329P","903201"
"9903","-67028"
"9900","185846"
"9901","-48843"
"9906","-474359"
"9904","-67028"
"9905","-67028"
"42/48","414855"
"8279","216770"
"440/4","13476"
"8169","27064"
"47/48","267832"
"172/3","1221684"
"8179","1357"
"91611","5300742"
"640/8","17919"
"490/1","2288"
"30/36","3546"
"29/58","45633"
"17/49","4387400"
"8199","6436021"
"91631","2300000"
