
"Reference number","2023-00266528"
"Entity number","0634865592"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","TORRR Consulting"
"Entity address street","Kloosterstraat"
"Entity address number","63"
"Entity postal code","2275"
"Entity city","Lille"
"Entity country","België"
"General assembly date","2023-06-27"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","68504.83"
"492/3","6908.19"
"454/9","1162.33"
"111","20460"
"13","220525.13"
"14","0"
"23","170"
"24","28201.48"
"75/76B","86"
"133","220525.13"
"6921","39672.57"
"8309","22887.45"
"1011","974"
"694/7","51700"
"1003","1.7"
"1002","0.6"
"1001","1.2"
"40","50410.1"
"41","18094.73"
"44","12721.59"
"45","30206.13"
"1022","11750.54"
"1021","17853.42"
"791/2","51700"
"1013","1615"
"1012","641"
"8329","20330.87"
"22/27","28371.48"
"1023","29603.96"
"8199P","71589.8"
"62","29603.96"
"10/49","458629.46"
"65","3629.36"
"21/28","28371.48"
"20/58","458629.46"
"10/11","20460"
"10/15","240985.13"
"75","86"
"1003P","0.4"
"450/3","29043.8"
"54/58","310245.64"
"630","12350.26"
"65/66B","3629.36"
"691/2","39672.57"
"8329P","30868.06"
"1013P","788"
"9903","57017.49"
"9900","104166.44"
"9901","60560.85"
"9906","39672.57"
"9904","39672.57"
"9905","39672.57"
"42/48","210736.14"
"76A","1404.96"
"8279","12350.26"
"2053","6.1"
"2052","1"
"2051","6"
"440/4","12721.59"
"47/48","167808.42"
"1023P","13945.31"
"8179","22887.45"
"640/8","1651.37"
"50/53","50000"
"490/1","1507.51"
"3053","6.9"
"3052","2"
"3051","6"
"29/58","430257.98"
"17/49","217644.33"
"8199","48702.35"
"694","51700"
"67/77","17344.92"
