
"Reference number","2024-00234415"
"Entity number","0427834237"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","EUROVOLLEYCENTER"
"Entity address street","BENELUXLAAN"
"Entity address number","22"
"Entity postal code","1800"
"Entity city","Vilvoorde"
"Entity country","België"
"General assembly date","2024-07-04"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","227273.4"
"492/3","48947.65"
"454/9","7089.35"
"58032","25.38"
"110","31000"
"111","993780.12"
"1213","3"
"1212","2"
"1211","1"
"8525","0"
"5811","1"
"5812","2"
"5813","26.47"
"13","264609.7"
"14","-1301428.02"
"17","208190.39"
"3","59587.3"
"1103","5"
"1102","2"
"1343","2"
"1101","3"
"1342","2"
"22","430334.64"
"23","37059.46"
"24","0.16"
"25","81744.64"
"28","2400"
"75/76B","128.95"
"9087","4.9"
"133","264609.7"
"1011","4406"
"1003","4.9"
"1002","2.2"
"1001","3.1"
"8129P","10951.9"
"40","192861.09"
"41","34412.31"
"42","80118.25"
"44","68032.49"
"45","12705.52"
"46","156.03"
"1022","38285.87"
"1021","114364.43"
"14P","-1222661.49"
"1013","5881"
"1012","1475"
"8329","6363566.45"
"22/27","549138.9"
"1023","152650.3"
"12123","1"
"12122","1"
"12001","2"
"12003","2"
"8199P","6886813.65"
"62","152650.3"
"10/49","842398.87"
"65","18611.97"
"66","13794.14"
"21/28","551538.9"
"20/58","842398.87"
"10/11","1024780.12"
"10/15","-12038.2"
"75","128.95"
"8365","2400"
"170/4","208190.39"
"1003P","6.4"
"1053","5"
"1052","2"
"1051","3"
"12101","1"
"8912","208190.39"
"12103","2"
"12102","1"
"450/3","5616.17"
"54/58","3997.68"
"630","96290.47"
"65/66B","18611.97"
"6502","0"
"8129","10951.9"
"8059P","10951.9"
"8329P","6267275.98"
"1013P","7406"
"9903","-78766.53"
"9900","239687.56"
"9901","-60283.51"
"9906","-1301428.02"
"9904","-78766.53"
"9905","-78766.53"
"42/48","597299.03"
"8279","96290.47"
"2053","14.6"
"2052","10"
"2051","6"
"8395","2400"
"892","0"
"440/4","68032.49"
"8169","25891.7"
"47/48","436286.74"
"1023P","175525"
"172/3","208190.39"
"66A","13794.14"
"8059","10951.9"
"640/8","37236.16"
"490/1","1.59"
"3053","15.8"
"3052","12"
"3051","6"
"30/36","59587.3"
"29/58","290859.97"
"17/49","854437.07"
"8199","6912705.35"
"58132","26.47"
"1203","2"
"1323","3"
"1201","2"
"1321","3"
"902","0"
"5801","1"
"5802","2"
"5803","25.38"
