
"Reference number","2025-00380847"
"Entity number","0440906273"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LE BOULVIN"
"Entity address street","Place du Marché"
"Entity address number","25"
"Entity postal code","6870"
"Entity city","Saint-Hubert"
"Entity country","Belgique"
"General assembly date","2025-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société coopérative à responsabilité limitée"
"40/41","6789.97"
"111","18592.01"
"13","4576"
"14","17734.21"
"22","40222.45"
"28","593.26"
"132","3476"
"130/1","1100"
"41","6789.97"
"43","10385.63"
"44","1430.21"
"45","192.5"
"14P","18617.69"
"8329","119104.55"
"22/27","40222.45"
"8199P","159327"
"10/49","61579.11"
"65","1444.44"
"21/28","40815.71"
"20/58","61579.11"
"10/11","18592.01"
"10/15","40902.22"
"8395P","593.26"
"450/3","192.5"
"54/58","13973.43"
"630","2203.96"
"65/66B","1444.44"
"8329P","116900.59"
"9903","-883.48"
"9900","4424.06"
"9901","560.96"
"9906","17734.21"
"9904","-883.48"
"9905","-883.48"
"42/48","20676.89"
"8279","2203.96"
"8395","593.26"
"440/4","1430.21"
"47/48","8668.55"
"640/8","1659.14"
"29/58","20763.4"
"17/49","20676.89"
"8199","159327"
"430/8","10385.63"
"1311","1100"
