
"Reference number","2025-00508081"
"Entity number","0475473907"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","L'UNIQUE C2"
"Entity address street","Ch.des Lavandières, M.-St-Blaise"
"Entity address number","9"
"Entity postal code","5560"
"Entity city","Houyet"
"Entity country","Belgique"
"General assembly date","2025-06-20"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","10468"
"10","62000"
"14","-52229"
"3","381"
"23","210"
"24","110"
"26","4898"
"40","6013"
"41","4455"
"44","7283"
"14P","-48621"
"8329","22271"
"22/27","5218"
"8199P","27489"
"10/49","19478"
"65","115"
"21/28","5218"
"20/58","19478"
"10/11","62000"
"10/15","9771"
"54/58","3136"
"630","852"
"65/66B","115"
"8329P","21419"
"9903","-3608"
"9900","686"
"9901","-3493"
"9906","-52229"
"9904","-3608"
"9905","-3608"
"42/48","9707"
"8279","852"
"440/4","7283"
"47/48","2424"
"640/8","3327"
"490/1","275"
"30/36","381"
"29/58","14260"
"17/49","9707"
"8199","27489"
"100","62000"
