
"Reference number","2024-00463030"
"Entity number","0669505579"
"Accounting period start date","2023-01-01"
"Accounting period end date","2024-06-30"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","IRIS BRUSSELS"
"Entity address street","Avenue Louise"
"Entity address number","391/5"
"Entity address box","1"
"Entity postal code","1050"
"Entity city","Ixelles"
"Entity country","Belgique"
"General assembly date","2024-09-10"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","157731.99"
"454/9","5470.07"
"10","20000"
"14","109417.94"
"17","339336.07"
"21","309697.36"
"22","1491324.75"
"23","243807.70"
"24","17624.82"
"28","133.29"
"75/76B","426.32"
"8129P","15798.71"
"40","98124.58"
"41","59607.41"
"42","53016.62"
"44","128403.96"
"45","5470.07"
"14P","46102.68"
"8329","101237.30"
"22/27","1752757.27"
"8199P","190268.18"
"62","50582.30"
"10/49","2264000.85"
"65","13942.04"
"21/28","2062587.92"
"20/58","2264000.85"
"10/11","20000"
"10/15","129417.94"
"75","289.30"
"170/4","339336.07"
"8395P","133.29"
"54/58","6181.14"
"630","130618.15"
"65/66B","13965.11"
"8129","55591.90"
"8059P","365289.26"
"8329P","10412.34"
"9903","87353.81"
"9900","495151.56"
"9901","100892.60"
"9906","109417.94"
"9904","63315.26"
"9905","63315.26"
"42/48","1795246.84"
"76B","137.02"
"8279","90824.96"
"8395","133.29"
"440/4","128403.96"
"8169","1663726.39"
"47/48","1608356.19"
"172/3","339336.07"
"66B","23.07"
"8059","365289.26"
"640/8","213058.51"
"50/53","37499.80"
"29/58","201412.93"
"8079","39793.19"
"17/49","2134582.91"
"8199","1853994.57"
"100","20000"
"67/77","24038.55"
