
"Reference number","2025-00466860"
"Entity number","0437854238"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Panoramahotel"
"Entity address street","Au-dessus de la Ville"
"Entity address number","4"
"Entity postal code","6830"
"Entity city","Bouillon"
"Entity country","Belgique"
"General assembly date","2025-08-18"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","10882.5"
"492/3","12"
"454/9","1500"
"635/8","-54000"
"10","279000"
"13","1205355.94"
"14","719503.91"
"15","11442.8"
"16","283751.93"
"17","112864.1"
"3","1677.8"
"20","0"
"24","31287.12"
"26","2051.38"
"75/76B","47822.42"
"130","40000"
"132","865227.83"
"133","300000"
"130/1","40128.11"
"8129P","3041.41"
"40","8436.39"
"41","2446.11"
"44","12272.37"
"45","5934.72"
"14P","737082.56"
"8329","9733.95"
"22/27","33338.5"
"168","283751.93"
"8199P","40800.72"
"62","-6113.03"
"10/49","2881595.29"
"65","1454.26"
"21/28","33338.5"
"20/58","2881595.29"
"10/11","279000"
"10/15","2215302.65"
"75","47822.42"
"170/4","112864.1"
"1003P","2.6"
"450/3","4434.72"
"54/58","881853.94"
"630","8380.49"
"65/66B","1454.26"
"753","9000.52"
"8129","3041.41"
"8059P","3041.41"
"8329P","1353.46"
"1013P","4889"
"9903","-10936.11"
"9900","-54818.39"
"9901","-57304.27"
"9906","719503.91"
"9904","-17578.65"
"9905","-17578.65"
"42/48","269664.61"
"8279","8380.49"
"440/4","12272.37"
"8169","2271.73"
"47/48","251457.52"
"1023P","124423.99"
"66A","54000"
"8059","3041.41"
"640/8","218.42"
"50/53","1952000"
"490/1","1842.55"
"30/36","1677.8"
"29/58","2848256.79"
"17/49","382540.71"
"8199","43072.45"
"1311","128.11"
"174/0","112864.1"
"100","279000"
"67/77","6642.54"
