
"Reference number","2023-00330865"
"Entity number","0446081323"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Bel'Espérance"
"Entity address street","Rue Bonne Espérance"
"Entity address number","37"
"Entity postal code","4500"
"Entity city","Huy"
"Entity country","Belgique"
"General assembly date","2023-06-02"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","2465"
"10","309867"
"14","-179524"
"22","98047"
"40","1513"
"41","952"
"44","4581"
"14P","-169177"
"8329","458450"
"22/27","98047"
"8199P","553399"
"10/49","170394"
"65","181"
"21/28","98047"
"20/58","170394"
"10/11","309867"
"10/15","130343"
"54/58","69882"
"630","15832"
"65/66B","181"
"8329P","442617"
"9903","-10347"
"9900","7601"
"9901","-10166"
"9906","-179524"
"9904","-10347"
"9905","-10347"
"42/48","40051"
"8279","15833"
"440/4","4581"
"8169","3098"
"47/48","35470"
"640/8","1935"
"29/58","72347"
"17/49","40051"
"8199","556497"
"100","309867"
