
"Reference number","2022-20049282"
"Entity number","0442535873"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","AMBIENTE"
"Entity address street","Handelslei"
"Entity address number","55"
"Entity postal code","2980"
"Entity city","Zoersel"
"Entity country","België"
"General assembly date","2022-06-07"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","69877.88"
"492/3","51.55"
"454/9","34701.68"
"9062","330770.53"
"110","82100"
"1213","2.5"
"1333","0.4"
"1212","3"
"1332","1"
"1211","1"
"13","297587.03"
"17","290626.54"
"3","58251.37"
"1103","8.5"
"1102","3"
"1101","7"
"21","861.7"
"22","355494.24"
"23","44237.92"
"24","47442.39"
"12011","1"
"29","96695.39"
"75/76B","3981.35"
"9087","9"
"133","297587.03"
"1113","1.4"
"1112","1"
"1111","1"
"12013","1"
"6921","176000"
"1011","10779"
"1003","9"
"1002","2.9"
"1001","7.6"
"8129P","150498.34"
"40","49745.55"
"41","20132.33"
"42","70143.99"
"43","40000"
"44","76694.22"
"45","35535.56"
"46","63694.36"
"1022","35343.4"
"1021","264010.06"
"14P","-3405.45"
"791/2","1622.97"
"1013","12222"
"1012","1443"
"8329","1403977.8"
"22/27","447174.55"
"1023","299353.46"
"12002","1"
"12001","6"
"12003","6.4"
"8199P","1792504.65"
"62","299353.46"
"10/49","958433.25"
"65","13291.1"
"21/28","448036.25"
"20/58","958433.25"
"291","96695.39"
"10/11","82100"
"10/15","379687.03"
"75","3981.35"
"170/4","290626.54"
"1003P","6.9"
"1053","9.9"
"1052","4"
"1051","8"
"12101","1"
"8912","215288.92"
"8913","75337.62"
"12103","2.5"
"12102","3"
"450/3","833.88"
"54/58","278645.98"
"630","86467.05"
"65/66B","13291.1"
"8129","150838.3"
"8922","330770.53"
"8059P","151700"
"691/2","176000"
"8329P","1317850.71"
"1013P","8088"
"9903","216467.42"
"9900","615290.3"
"9901","225777.17"
"9906","174377.03"
"9904","177782.48"
"9905","177782.48"
"42/48","288068.13"
"91711","175000"
"8279","86127.09"
"2053","47.7"
"2052","15"
"2051","40"
"892","330770.53"
"440/4","76694.22"
"8169","58647.7"
"47/48","2000"
"1023P","199925.79"
"172/3","260626.54"
"8059","151700"
"640/8","3692.62"
"490/1","6926.38"
"91721","485000"
"3053","44.6"
"3052","12"
"3051","38"
"30/36","58251.37"
"29/58","510397"
"8079","339.96"
"17/49","578746.22"
"8199","1851152.35"
"430/8","40000"
"174/0","30000"
"1203","7.4"
"1323","9.5"
"1202","1"
"1322","3"
"1201","7"
"1321","8"
"67/77","38684.94"
