
"Reference number","2022-20072536"
"Entity number","0440512335"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","REMA 2"
"Entity address street","Hoge Kaart"
"Entity address number","197/C"
"Entity postal code","2930"
"Entity city","Brasschaat"
"Entity country","België"
"General assembly date","2022-06-18"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","2020.51"
"492/3","0"
"111","20000"
"13","42748.17"
"17","206302.85"
"22","312331.7"
"23","1077.53"
"24","0"
"75/76B","0.01"
"133","40748.17"
"6921","22694.62"
"130/1","2000"
"41","2020.51"
"42","23548.08"
"44","2000.87"
"45","4307.96"
"14P","0"
"8329","354534.02"
"22/27","313409.23"
"8199P","665783.4"
"10/49","340102.81"
"65","3419.19"
"21/28","313409.23"
"20/58","340102.81"
"10/11","20000"
"10/15","62748.17"
"75","0.01"
"170/4","206302.85"
"450/3","4307.96"
"54/58","22266.74"
"630","18668.02"
"65/66B","3419.19"
"691/2","22694.62"
"8329P","335866"
"9903","25081.08"
"9900","52610.95"
"9901","28500.26"
"9906","22694.62"
"9904","22694.62"
"9905","22694.62"
"42/48","71051.79"
"8279","18668.02"
"440/4","2000.87"
"8169","2159.85"
"47/48","41194.88"
"172/3","206302.85"
"640/8","5442.67"
"50/53","1349.23"
"490/1","1057.1"
"29/58","26693.58"
"17/49","277354.64"
"8199","667943.25"
"1311","2000"
"67/77","2386.46"
