
"Reference number","2025-00539754"
"Entity number","0431236561"
"Accounting period start date","2024-04-01"
"Accounting period end date","2025-03-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Bemas"
"Entity address street","Ordingen-Dorp"
"Entity address number","50"
"Entity postal code","3800"
"Entity city","Ordingen"
"Entity country","België"
"General assembly date","2025-09-12"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","140049.5"
"492/3","14.56"
"1341","8"
"454/9","162974.99"
"1213","19.9"
"1212","10"
"1211","14"
"10","7522450.77"
"13","140929.66"
"14","-5792734.04"
"16","3976.56"
"17","720000"
"3","141871.03"
"1103","30.8"
"1102","8"
"1343","8.8"
"1101","25"
"1342","1"
"21","222.16"
"22","2644548.66"
"23","45490.96"
"24","312254.07"
"12011","13"
"28","500"
"75/76B","9294.52"
"9087","41.8"
"130","129000"
"132","11929.66"
"1113","5.1"
"1112","8"
"1111","2"
"12013","16"
"12012","6"
"8309","18785"
"1011","51184"
"1003","41.8"
"1002","34.8"
"1001","30.6"
"130/1","129000"
"8129P","7857.79"
"40","140049.5"
"43","206196.15"
"44","521957.52"
"45","181549.85"
"46","70496.73"
"1022","740397.49"
"1021","1469255.43"
"14P","-4914980.98"
"1013","76977"
"1012","25793"
"12112","9"
"8329","8896985.4"
"12111","14"
"12113","19.1"
"22/27","3002293.69"
"168","3976.56"
"1023","2209652.92"
"12123","0.8"
"12122","1"
"8199P","11847414.25"
"62","2209652.92"
"10/49","3638736.94"
"65","43979.16"
"21/28","3003015.85"
"20/58","3638736.94"
"10/11","7522450.77"
"10/15","1870646.39"
"75","9294.52"
"76","35016.13"
"1003P","38.3"
"1053","35.9"
"1052","16"
"1051","27"
"178/9","720000"
"8395P","500"
"8912","720000"
"450/3","18574.86"
"54/58","343608.19"
"630","535174.97"
"65/66B","43979.16"
"8129","10666.34"
"8059P","10888.5"
"8329P","8383403.98"
"1013P","71127"
"9903","-902080.69"
"9900","1927781.33"
"9901","-867396.05"
"9906","-5792734.04"
"9904","-897404.89"
"9905","-877753.06"
"42/48","1044099.43"
"76A","35016.13"
"8279","532366.42"
"2053","25.3"
"2052","65"
"2051","17"
"8395","500"
"440/4","521957.52"
"8169","70649.84"
"47/48","63899.18"
"780","6550.61"
"789","19651.83"
"1023P","2006481.99"
"8179","18785"
"8059","10888.5"
"640/8","50349.49"
"490/1","10192.37"
"3053","22.1"
"3052","70"
"3051","12"
"30/36","141871.03"
"29/58","635721.09"
"8079","2808.55"
"17/49","1764113.99"
"8199","11899279.09"
"430/8","206196.15"
"100","7522450.77"
"1203","16"
"1323","27.1"
"1202","6"
"1322","15"
"1201","13"
"1321","19"
"67/77","1874.81"
