============================================================
  BCE/KBO — BRONZE MongoDB Ingestion (multi-passes)
  Source  : /workspaces/Data-Platform/TP2/data
  Target  : bce_bronze.enterprise_finale
============================================================

⚠️  1,231,876 docs existants — drop et réingestion complète...

[Pass 0] Ingestion enterprise.csv (documents de base)...
  chunk   1  total=    5,000  [0s]
  chunk 162  total=  810,000  [48s]
  chunk 163  total=  815,000  [48s]
  chunk 164  total=  820,000  [49s]
  chunk 165  total=  825,000  [49s]
  chunk 166  total=  830,000  [49s]
  chunk 167  total=  835,000  [49s]
  chunk 168  total=  840,000  [50s]
  chunk 169  total=  845,000  [50s]
  chunk 170  total=  850,000  [50s]
  chunk 171  total=  855,000  [51s]
  chunk 172  total=  860,000  [51s]
  chunk 173  total=  865,000  [51s]
  chunk 174  total=  870,000  [51s]
  chunk 175  total=  875,000  [52s]
  chunk 176  total=  880,000  [52s]
  chunk 177  total=  885,000  [52s]
  chunk 178  total=  890,000  [53s]
  chunk 179  total=  895,000  [53s]
  chunk 180  total=  900,000  [53s]
  chunk 181  total=  905,000  [53s]
  chunk 182  total=  910,000  [54s]
  chunk 183  total=  915,000  [54s]
  chunk 184  total=  920,000  [54s]
  chunk 185  total=  925,000  [55s]
  chunk 186  total=  930,000  [55s]
  chunk 187  total=  935,000  [55s]
  chunk 188  total=  940,000  [55s]
  chunk 189  total=  945,000  [56s]
  chunk 190  total=  950,000  [56s]
  chunk 191  total=  955,000  [56s]
  chunk 192  total=  960,000  [57s]
  chunk 193  total=  965,000  [57s]
  chunk 194  total=  970,000  [57s]
  chunk 195  total=  975,000  [57s]
  chunk 196  total=  980,000  [58s]
  chunk 197  total=  985,000  [58s]
  chunk 198  total=  990,000  [58s]
  chunk 199  total=  995,000  [58s]
  chunk 200  total=1,000,000  [59s]
  chunk 201  total=1,005,000  [59s]
  chunk 202  total=1,010,000  [59s]
  chunk 203  total=1,015,000  [59s]
  chunk 204  total=1,020,000  [60s]
  chunk 205  total=1,025,000  [60s]
  chunk 206  total=1,030,000  [60s]
  chunk 207  total=1,035,000  [61s]
  chunk 208  total=1,040,000  [61s]
  chunk 209  total=1,045,000  [61s]
  chunk 210  total=1,050,000  [62s]
  chunk 211  total=1,055,000  [62s]
  chunk 212  total=1,060,000  [63s]
  chunk 213  total=1,065,000  [63s]
  chunk 214  total=1,070,000  [63s]
  chunk 215  total=1,075,000  [63s]
  chunk 216  total=1,080,000  [64s]
  chunk 217  total=1,085,000  [64s]
