
"Reference number","2022-20327485"
"Entity number","0466132015"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","PETITE SOMME"
"Entity address street","Rue du Moulin"
"Entity address number","2"
"Entity postal code","6940"
"Entity city","Durbuy"
"Entity country","Belgique"
"General assembly date","2022-08-18"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","12213.37"
"454/9","3848.42"
"11","24789.35"
"12","220000"
"14","-432592.35"
"17","1356112.12"
"22","1149885.9"
"23","1948.27"
"24","1412.52"
"28","160"
"75/76B","0.25"
"1113","0.8"
"1112","1"
"1003","1"
"1002","1.4"
"8129P","13676.12"
"40","9705.44"
"41","2507.93"
"44","17006.6"
"45","3940.31"
"46","3952.5"
"1022","30946.61"
"14P","-416006.18"
"1013","1275"
"1012","1275"
"8329","715350.91"
"22/27","1153246.69"
"1023","30946.61"
"12002","1"
"8199P","1625534.36"
"12003","0.8"
"62","30946.61"
"10/49","1219867.3"
"65","246.81"
"21/28","1153406.69"
"20/58","1219867.3"
"10/11","24789.35"
"10/15","-187803"
"75","0.25"
"170/4","1356112.12"
"1003P","1.3"
"1053","0.8"
"1052","1"
"8395P","160"
"8259","220000"
"450/3","91.89"
"54/58","49992.29"
"630","40752.06"
"65/66B","246.81"
"8129","13676.12"
"8059P","13676.12"
"8329P","674598.85"
"1013P","1322"
"9903","-16586.17"
"9900","62382.46"
"9901","-16339.61"
"9906","-432592.35"
"9904","-16586.17"
"9905","-16586.17"
"42/48","51558.18"
"8279","40752.06"
"8395","160"
"440/4","17006.6"
"8169","23063.24"
"47/48","26658.77"
"1023P","31350.18"
"66A","201.46"
"8059","13676.12"
"640/8","6821.94"
"490/1","4254.95"
"1109/19","24789.35"
"3053","0.5"
"3052","1"
"29/58","66460.61"
"17/49","1407670.3"
"8199","1648597.6"
"8259P","220000"
"174/0","1356112.12"
"1203","0.8"
"1323","0.8"
"1202","1"
"1322","1"
