
"Reference number","2024-00194441"
"Entity number","0406137218"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Holiday Inns of Belgium"
"Entity address street","Robert Schumanplein"
"Entity address number","11"
"Entity postal code","1040"
"Entity city","Etterbeek"
"Entity country","België"
"General assembly date","2024-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","8838617.78"
"12031","2"
"12033","2"
"492/3","33273.5"
"1341","5"
"454/9","276748.2"
"10","750000"
"13","75000"
"14","7732925.99"
"1103","5"
"1343","5"
"1101","5"
"12011","2"
"75/76B","273546.88"
"9087","5"
"130","75000"
"12013","2"
"12021","1"
"1011","8498"
"1003","5"
"1002","0"
"1001","5"
"12023","1"
"130/1","75000"
"40","71105.81"
"41","8767511.97"
"44","8175.05"
"45","391593.86"
"1021","1039046.05"
"14P","7479564.27"
"1013","8498"
"1012","0"
"1023","1039046.05"
"62","1039046.05"
"10/49","9003790.1"
"65","1598.42"
"20/58","9003790.1"
"10/11","750000"
"10/15","8557925.99"
"75","273546.88"
"1003P","4.3"
"631/4","-105.34"
"1053","5"
"1052","0"
"1051","5"
"450/3","114845.66"
"54/58","165172.29"
"65/66B","1598.42"
"6502","0"
"1013P","7328"
"9903","351188.68"
"9900","1118180.93"
"9901","79240.22"
"9906","7732925.99"
"9904","253361.72"
"9905","253361.72"
"42/48","412590.61"
"440/4","8175.05"
"47/48","12821.7"
"1023P","658395.62"
"490/1","0.03"
"29/58","9003790.1"
"17/49","445864.11"
"100","750000"
"1203","5"
"1201","5"
"67/77","97826.96"
