
"Reference number","2024-00434839"
"Entity number","0670453904"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LECLERCQ INVEST"
"Entity address street","Place Mc Auliffe"
"Entity address number","34"
"Entity postal code","6600"
"Entity city","Bastogne"
"Entity country","Belgique"
"General assembly date","2024-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","4740.74"
"492/3","261.01"
"110","160000"
"111","0"
"13","6800"
"14","22395.12"
"17","158038.29"
"22","349756.17"
"133","6800"
"6921","0.12"
"130/1","0"
"41","4740.74"
"42","21438.37"
"45","0"
"14P","15617.45"
"8329","104740.76"
"22/27","349756.17"
"8199P","454496.93"
"10/49","368932.79"
"65","3385.59"
"21/28","349756.17"
"20/58","368932.79"
"10/11","160000"
"10/15","189195.12"
"170/4","158038.29"
"450/3","0"
"54/58","13566.38"
"630","15134.75"
"65/66B","3385.59"
"691/2","0.12"
"8329P","89606.01"
"9903","9037.05"
"9900","31926.08"
"9901","12422.64"
"9906","22395.24"
"9904","6777.79"
"9905","6777.79"
"42/48","21438.37"
"8279","15134.75"
"172/3","158038.29"
"91611","307818.3"
"640/8","4368.69"
"490/1","869.5"
"29/58","19176.62"
"17/49","179737.67"
"8199","454496.93"
"1311","0"
"91621","300000"
"67/77","2259.26"
