
"Reference number","2023-00319786"
"Entity number","0435146453"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","PDP CONSULTANCY"
"Entity address street","Marcus van Vaernewijckstraat"
"Entity address number","21"
"Entity postal code","9030"
"Entity city","Mariakerke (Gent)"
"Entity country","België"
"General assembly date","2023-04-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","31924.84"
"492/3","1332.43"
"454/9","12823.07"
"111","75000"
"13","120500"
"14","-22218.64"
"17","96849.91"
"22","358421.49"
"28","27.91"
"75/76B","0.1"
"133","113000"
"130/1","7500"
"40","31516.5"
"41","408.34"
"42","15337.63"
"45","12823.07"
"14P","-6082.06"
"8329","308171.18"
"22/27","358421.49"
"8199P","666592.67"
"10/49","396624.40"
"65","977.74"
"21/28","358449.40"
"20/58","396624.4"
"10/11","75000"
"10/15","173281.36"
"75",".10"
"170/4","96849.91"
"8395P","27.91"
"8912","41849.91"
"8913","55000"
"54/58","5250.16"
"630","20308.9"
"65/66B","977.74"
"8329P","287862.28"
"9903","-16136.58"
"9900","7543.19"
"9901","-15158.94"
"9906","-22218.64"
"9904","-16136.58"
"9905","-16136.58"
"42/48","125160.70"
"8279","20308.9"
"8395","27.91"
"47/48","97000"
"172/3","41849.91"
"640/8","2393.23"
"490/1","1000"
"29/58","38175.00"
"17/49","223343.04"
"8199","666592.67"
"1311","7500"
"174/0","55000"
