
"Reference number","2023-00213714"
"Entity number","0667522227"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","FOOD-ART 4 EVENTS"
"Entity address street","Rue du Taillet"
"Entity address number","3"
"Entity postal code","6980"
"Entity city","La Roche-en-Ardenne"
"Entity country","Belgique"
"General assembly date","2023-06-05"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société privée à responsabilité limitée"
"40/41","51111.72"
"492/3","2788.6"
"111","6200"
"13","121860"
"14","18.98"
"17","80928.82"
"3","10278.37"
"23","2149.73"
"24","148830.83"
"26","780.32"
"75/76B","100.16"
"133","120000"
"6921","16000"
"8309","50000"
"130/1","1860"
"40","46296.85"
"41","4814.87"
"42","26327.07"
"44","25504.98"
"45","10373.97"
"14P","34.65"
"8329","50519.02"
"22/27","151760.88"
"8199P","127214.54"
"10/49","274002.42"
"65","1749.98"
"21/28","151760.88"
"20/58","274002.42"
"10/11","6200"
"10/15","128078.98"
"75","100.16"
"170/4","80928.82"
"450/3","10373.97"
"54/58","58951.42"
"630","31164.57"
"65/66B","1749.98"
"691/2","16000"
"8329P","69354.45"
"9903","21920.92"
"9900","55962.81"
"9901","23570.74"
"9906","16018.98"
"9904","15984.33"
"9905","15984.33"
"42/48","62206.02"
"8279","31164.57"
"440/4","25504.98"
"8169","125065.36"
"172/3","80928.82"
"8179","50000"
"640/8","1227.5"
"490/1","1900.03"
"30/36","10278.37"
"29/58","122241.54"
"17/49","145923.44"
"8199","202279.9"
"1311","1860"
"67/77","5936.59"
