
"Reference number","2024-00607291"
"Entity number","0471656164"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","AUBERGE DU CARREFOUR"
"Entity address street","Baraque de Fraiture"
"Entity address number","2"
"Entity postal code","6690"
"Entity city","Vielsalm"
"Entity country","Belgique"
"General assembly date","2024-09-09"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","24755"
"492/3","4962"
"454/9","86457"
"10","127000"
"13","217700"
"14","267584"
"15","22745"
"16","7582"
"3","8290"
"22","81551"
"23","2003"
"24","17967"
"26","165218"
"75/76B","92"
"130","12700"
"133","205000"
"6921","80000"
"8309","33851"
"694/7","40000"
"130/1","12700"
"40","14755"
"41","10000"
"44","29970"
"45","86457"
"14P","190562"
"791/2","40000"
"8329","740204"
"22/27","266739"
"168","7582"
"8199P","1011283"
"62","186826"
"10/49","914106"
"65","10123"
"21/28","266739"
"20/58","914106"
"10/11","127000"
"10/15","635029"
"75","92"
"54/58","614322"
"630","51521"
"65/66B","10123"
"691/2","80000"
"8329P","722534"
"9903","166714"
"9900","420003"
"9901","176745"
"9906","347584"
"9904","157022"
"9905","157022"
"42/48","266533"
"76A","234"
"8279","51521"
"440/4","29970"
"8169","29511"
"47/48","150106"
"8179","33851"
"66A","201"
"640/8","4710"
"30/36","8290"
"29/58","647367"
"17/49","271495"
"8199","1006943"
"694","40000"
"100","127000"
"67/77","9692"
