
"Reference number","2026-00129726"
"Entity number","0636809156"
"Accounting period start date","2025-01-01"
"Accounting period end date","2025-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Ticaconsult"
"Entity address street","Kapelaan Smitslaan"
"Entity address number","20"
"Entity postal code","2650"
"Entity city","Edegem"
"Entity country","België"
"General assembly date","2026-05-21"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","165341.24"
"110","300"
"13","407889.03"
"17","122122.46"
"22","272504.09"
"23","3224.52"
"24","158373.68"
"28","10000"
"75/76B","10.82"
"133","407889.03"
"6921","407889.03"
"8309","61271.34"
"694/7","1050000"
"40","165064.17"
"41","277.07"
"42","41190.41"
"43","1643.94"
"44","2290.85"
"45","182593.46"
"791/2","583434.63"
"8329","255839.01"
"22/27","434102.29"
"8199P","604798.22"
"10/49","814855.44"
"65","3852.15"
"21/28","444102.29"
"20/58","814855.44"
"10/11","300"
"10/15","408189.03"
"75","10.82"
"170/4","122122.46"
"8395P","10000"
"450/3","182593.46"
"54/58","183278.31"
"630","52357.50"
"65/66B","3852.15"
"691/2","407889.03"
"8329P","264752.85"
"9903","1174177.33"
"9900","1236915.15"
"9901","1178018.66"
"9906","874454.40"
"9904","874454.40"
"9905","874454.40"
"42/48","284543.95"
"76A","14819.91"
"8279","52357.50"
"8395","10000"
"440/4","2290.85"
"8169","146414.42"
"47/48","56825.29"
"172/3","122122.46"
"8179","61271.34"
"640/8","6538.99"
"490/1","22133.60"
"29/58","370753.15"
"17/49","406666.41"
"8199","689941.30"
"430/8","1643.94"
"694","1050000"
"67/77","299722.93"
