
"Reference number","2022-20531864"
"Entity number","0455451721"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","VANDEWIELE-NUYTTEN"
"Entity address street","FREREN FONTEINSTRAAT"
"Entity address number","20"
"Entity postal code","8000"
"Entity city","Brugge"
"Entity country","België"
"General assembly date","2022-09-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","59534.21"
"110","62097.33"
"14","-898420.06"
"17","22361.08"
"3","3881.23"
"23","19503.71"
"24","52160.73"
"26","150095.94"
"75/76B","2.74"
"40","44952.83"
"41","14581.38"
"42","9049.3"
"44","9836.97"
"45","932.71"
"14P","-867136.13"
"8329","33536.32"
"22/27","221760.38"
"8199P","239072.67"
"10/49","286074.22"
"65","810.39"
"21/28","221760.38"
"20/58","286074.22"
"10/11","62097.33"
"10/15","-836322.73"
"75","2.74"
"170/4","22361.08"
"450/3","932.71"
"54/58","898.4"
"630","24600.49"
"65/66B","810.39"
"8329P","8935.83"
"9903","-30641.17"
"9900","-780.83"
"9901","-29833.52"
"9906","-898420.06"
"9904","-31283.93"
"9905","-31283.93"
"42/48","1100035.87"
"8279","24600.49"
"440/4","9836.97"
"8169","16224.03"
"47/48","1080216.89"
"640/8","4452.2"
"30/36","3881.23"
"29/58","64313.84"
"17/49","1122396.95"
"8199","255296.7"
"174/0","22361.08"
"67/77","642.76"
