
"Reference number","2022-20362345"
"Entity number","0670854473"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LDH IMMO"
"Entity address street","La Vaulx Renard"
"Entity address number","4"
"Entity postal code","4987"
"Entity city","Stoumont"
"Entity country","Belgique"
"General assembly date","2022-06-15"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","221880.96"
"492/3","3030.49"
"111","18600"
"8455P","0"
"8525","0"
"13","11288.67"
"14","0"
"17","289717.59"
"21","0"
"22","380456.53"
"23","0"
"24","1924.29"
"8555","0"
"75/76B","4824.65"
"133","9428.67"
"6921","8547.24"
"8309","94255.21"
"694/7","280000"
"130/1","1860"
"8129P","5843.84"
"40","67735.03"
"41","154145.93"
"42","33922.61"
"44","77915.1"
"45","39846.13"
"8455","0"
"791/2","180000"
"8329","86058.72"
"22/27","382380.82"
"8199P","617954.91"
"62","0"
"10/49","964945.54"
"8555P","0"
"65","9321.19"
"21/28","382380.82"
"20/58","964945.54"
"8109","6843.84"
"10/11","18600"
"10/15","29888.67"
"75","4824.65"
"170/4","289717.59"
"8395P","0"
"8912","102736.44"
"8913","186981.15"
"450/3","39846.13"
"54/58","359418.75"
"630","15871.21"
"65/66B","9321.19"
"6502","0"
"8129","0"
"8059P","15000"
"691/2","8547.24"
"8329P","165442.72"
"9903","140951.58"
"9900","167423.24"
"9901","145448.12"
"9906","108547.24"
"9904","108547.24"
"9905","108547.24"
"42/48","642308.79"
"8039","15000"
"8279","14871.21"
"8395","0"
"440/4","77915.1"
"8169","3504.97"
"47/48","490624.95"
"172/3","289717.59"
"8525P","0"
"8179","153020.34"
"91611","380456.53"
"8059","0"
"640/8","6103.91"
"490/1","1265.01"
"29/58","582564.72"
"8079","1000"
"17/49","935056.87"
"8199","468439.54"
"694","280000"
"1311","1860"
"91621","27500"
"67/77","32404.34"
