
"Reference number","2023-00415796"
"Entity number","0450593308"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","A LA NOUVELLE HOSTELLERIE D'ORVAL"
"Entity address street","Orval,"
"Entity address number","14"
"Entity postal code","6823"
"Entity city","Villers-devant-Orval"
"Entity country","Belgique"
"General assembly date","2023-06-03"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","94204.71"
"454/9","24797.48"
"111","18592.01"
"1213","2.3"
"1212","2"
"1211","1"
"8455P","0"
"8525","0"
"13","113906.4"
"14","139313.63"
"15","1800"
"17","5247.87"
"3","11004.15"
"1103","4.1"
"1102","3"
"1101","2"
"22","34885.46"
"23","42488.31"
"24","10588.67"
"26","9858.58"
"12011","1"
"28","8427"
"8555","0"
"75/76B","804.08"
"9087","7.2"
"132","5259.86"
"133","106787.34"
"12013","1.8"
"12012","1"
"1011","3392"
"1003","7.2"
"1002","11"
"1001","2.2"
"130/1","1859.2"
"8129P","0"
"40","30983.36"
"41","63221.35"
"44","38142.11"
"45","47792.71"
"8455","0"
"1022","187758.3"
"1021","82613.65"
"14P","142261.97"
"1013","13421"
"1012","10029"
"12112","2"
"8329","426230.24"
"12113","1.3"
"22/27","97821.02"
"1023","270371.95"
"8199P","479911.16"
"62","270371.95"
"10/49","365645.23"
"8555P","0"
"65","4608.95"
"21/28","106248.02"
"20/58","365645.23"
"10/11","18592.01"
"10/15","273612.04"
"75","804.08"
"8365","8.57"
"170/4","5247.87"
"1003P","5.4"
"1053","4.1"
"1052","3"
"1051","2"
"8395P","8418.43"
"12101","1"
"8913","5247.87"
"12103","1"
"12102","0"
"450/3","22995.23"
"54/58","148703.2"
"630","27163.06"
"65/66B","4608.95"
"753","600"
"6502","0"
"8129","0"
"8059P","0"
"8329P","399067.18"
"1013P","9385"
"9903","-2916.14"
"9900","300466.14"
"9901","888.73"
"9906","139313.63"
"9904","-2948.34"
"9905","-2948.34"
"42/48","86785.32"
"8279","27163.06"
"2053","16.9"
"2052","44"
"2051","2"
"8395","8427"
"440/4","38142.11"
"8722","0"
"8169","44140.1"
"47/48","850.5"
"1023P","167112.54"
"172/3","5247.87"
"8525P","0"
"8732","0"
"8059","0"
"640/8","2042.4"
"490/1","5485.15"
"3053","16"
"3052","44"
"3051","2"
"30/36","11004.15"
"29/58","259397.21"
"17/49","92033.19"
"8199","524051.26"
"1311","1859.2"
"1203","1.8"
"1323","4.1"
"1202","1"
"1322","3"
"1201","1"
"1321","2"
"67/77","32.2"
