
"Reference number","2022-20365224"
"Entity number","0661979270"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","VHD CONCEPT"
"Entity address street","Rue des Briqueteries"
"Entity address number","6"
"Entity postal code","5590"
"Entity city","Ciney"
"Entity country","Belgique"
"General assembly date","2022-08-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","2208.36"
"111","50000.34"
"13","140000"
"14","5520.87"
"17","2063187.43"
"22","2292490.58"
"23","327389.12"
"24","20374.1"
"75/76B","131.34"
"133","135000"
"6920","553.32"
"8309","30590.52"
"130/1","5000"
"41","2208.36"
"42","300363.59"
"44","7063.42"
"45","65647.2"
"14P","-49171.35"
"8329","350257.04"
"22/27","2640253.8"
"8199P","3086102.05"
"10/49","2673206.68"
"65","41822.11"
"21/28","2640253.8"
"20/58","2673206.68"
"10/11","50000.34"
"10/15","195521.21"
"75","131.34"
"170/4","2063187.43"
"450/3","65647.2"
"54/58","30729.37"
"630","92575.99"
"65/66B","41822.11"
"691/2","553.32"
"8329P","288271.57"
"9903","77173.09"
"9900","240070.51"
"9901","118863.86"
"9906","6074.19"
"9904","55245.54"
"9905","55245.54"
"42/48","414498.04"
"76A","85172.05"
"8279","92575.99"
"440/4","7063.42"
"8169","32381.42"
"47/48","41423.83"
"172/3","2063187.43"
"8179","127972.63"
"91611","2619879.7"
"640/8","28630.66"
"490/1","15.15"
"29/58","32952.88"
"17/49","2477685.47"
"8199","2990510.84"
"1311","5000"
"91621","740000"
"67/77","21927.55"
