
"Reference number","2026-00041563"
"Entity number","0472134632"
"Accounting period start date","2024-10-01"
"Accounting period end date","2025-09-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Vatcon"
"Entity address street","Roekstraat"
"Entity address number","7"
"Entity postal code","8400"
"Entity city","Oostende"
"Entity country","België"
"General assembly date","2026-02-21"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","21463.11"
"492/3","1234.02"
"111","18600"
"8525","0"
"13","258611.82"
"14","0"
"17","4676.59"
"24","16278.52"
"26","49239.06"
"28","498.01"
"75/76B","0.1"
"133","258611.82"
"6921","34794.89"
"694/7","100650.77"
"130/1","0"
"40","13395.08"
"41","8068.03"
"42","11145.64"
"44","1485.99"
"45","8295.69"
"791/2","100650.77"
"8329","128807.93"
"22/27","65517.58"
"8199P","194225.51"
"10/49","309197.39"
"65","479.03"
"21/28","66015.59"
"20/58","309197.39"
"10/11","18600"
"10/15","277211.82"
"75","0.1"
"170/4","4676.59"
"8395P","498.01"
"450/3","8295.69"
"54/58","216488.69"
"630","17725"
"65/66B","479.03"
"691/2","34794.89"
"8329P","111082.93"
"9903","52980.34"
"9900","72022.31"
"9901","53459.27"
"9906","34794.89"
"9904","34794.89"
"9905","34794.89"
"42/48","26074.96"
"8279","17725"
"8395","498.01"
"440/4","1485.99"
"8169","100"
"47/48","5147.64"
"172/3","4676.59"
"640/8","838.04"
"490/1","5230"
"29/58","243181.8"
"17/49","31985.57"
"8199","194325.51"
"694","100650.77"
"1311","0"
"67/77","18185.45"
