
"Reference number","2023-00219634"
"Entity number","0416126931"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","HOSTELLERIE DU PEIFFESCHOF"
"Entity address street","Chemin du Peiffeschoff"
"Entity address number","111"
"Entity postal code","6700"
"Entity city","Arlon"
"Entity country","Belgique"
"General assembly date","2023-06-29"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","16946.49"
"492/3","13871.97"
"454/9","18433.09"
"110","24000.01"
"111","0"
"1213","2.8"
"1333","2.1"
"1212","3"
"1332","6"
"1211","1"
"8455P","0"
"8525","0"
"13","121645.73"
"14","0"
"15","38890.93"
"16","6810.42"
"17","178898.28"
"3","32560"
"1103","3.8"
"1102","1"
"1101","3"
"21","1388.71"
"22","242885.7"
"23","20689.54"
"24","6516.59"
"12011","1"
"28","21936"
"8555","0"
"75/76B","12724.75"
"133","121645.73"
"1113","2.1"
"1112","6"
"12013","1.5"
"12012","2"
"6921","67905.35"
"8309","3034.5"
"12022","2"
"1011","5395"
"694/7","4000"
"1003","6.9"
"1002","8.3"
"1001","3.7"
"12023","0.6"
"130/1","0"
"8129P","3664.72"
"40","14926.21"
"41","2020.28"
"42","57192.79"
"44","50534.99"
"45","42487.43"
"8455","0"
"1022","66175.89"
"1021","126269.79"
"14P","-25095.71"
"791/2","4000"
"1013","9163"
"1012","3768"
"8329","1863581.96"
"12111","1"
"12113","1"
"22/27","270091.83"
"168","6810.42"
"1023","192445.68"
"12123","0.2"
"12122","1"
"12001","1"
"12003","1"
"8199P","2127013.29"
"62","192445.68"
"10/49","539729.54"
"8555P","0"
"65","10171.23"
"21/28","293416.54"
"20/58","539729.54"
"10/11","24000.01"
"10/15","184536.67"
"75","12724.75"
"170/4","178898.28"
"1003P","6.1"
"1053","5.9"
"1052","7"
"1051","3"
"8395P","21936"
"12103","1.6"
"12102","2"
"450/3","24054.34"
"54/58","176596.27"
"630","61712.18"
"65/66B","10171.23"
"753","2983.29"
"8129","4596.29"
"8059P","5985"
"691/2","67905.35"
"8329P","1805835.85"
"1013P","6263"
"9903","98280.44"
"9900","364391.56"
"9901","95726.92"
"9906","67905.35"
"9904","93001.06"
"9905","93001.06"
"42/48","155612.2"
"8279","60780.61"
"2053","13.1"
"2052","18"
"2051","8"
"8395","21936"
"440/4","50534.99"
"8169","9695"
"47/48","5396.99"
"780","2184.84"
"1023P","117257.87"
"172/3","178898.28"
"8525P","0"
"8179","3034.5"
"91611","242885.7"
"8059","5985"
"640/8","14506.78"
"490/1","20210.24"
"3053","14.4"
"3052","17"
"3051","8"
"30/36","32560"
"29/58","246313"
"8079","931.57"
"17/49","348382.45"
"8199","2133673.79"
"91631","150000"
"694","4000"
"1311","0"
"91621","272683"
"1203","3.1"
"1323","3.8"
"1202","4"
"1322","1"
"1201","2"
"1321","3"
"67/77","7464.22"
