
"Reference number","2024-00488549"
"Entity number","0468147437"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","PRACHA"
"Entity address street","Kogelstraat"
"Entity address number","3"
"Entity postal code","3840"
"Entity city","Tongeren-Borgloon"
"Entity country","België"
"General assembly date","2024-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","169669.22"
"492/3","11650"
"454/9","442.08"
"111","1500000"
"1213","1"
"1211","1"
"14","-1207896.45"
"3","1873.98"
"1103","1"
"1101","1"
"22","42587.97"
"23","42060.45"
"24","53566.56"
"75/76B","7540.82"
"8309","5412.85"
"1011","900"
"1003","1"
"1001","1"
"40","13095.10"
"41","156574.12"
"44","12190.34"
"45","442.08"
"14P","-1213654.37"
"1013","900"
"8329","2110701.64"
"12111","1"
"12113","1"
"22/27","138214.98"
"8199P","2242382.92"
"10/49","316385.97"
"62","25697.36"
"65","144.57"
"21/28","138214.98"
"20/58","316385.97"
"10/11","1500000"
"10/15","292103.55"
"75","7540.82"
"1003P","1"
"1053","1"
"1051","1"
"54/58","6627.79"
"630","17402.13"
"65/66B","144.57"
"8329P","2099753.65"
"1013P","803"
"9903","5757.92"
"9900","47463.01"
"9901","-1638.33"
"9906","-1207896.45"
"9904","5757.92"
"9905","5757.92"
"42/48","12632.42"
"8279","16360.84"
"440/4","12190.34"
"8169","6533.70"
"640/8","6001.85"
"30/36","1873.98"
"29/58","178170.99"
"17/49","24282.42"
"8199","2248916.62"
"1323","1"
"1321","1"
