
"Reference number","2022-20401818"
"Entity number","0578850468"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Turnaround Management"
"Entity address street","Parklei"
"Entity address number","16"
"Entity postal code","2930"
"Entity city","Brasschaat"
"Entity country","België"
"General assembly date","2022-06-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten Vennootschap"
"111","18600"
"13","32098"
"14","234984.4"
"17","79392.02"
"24","144301.31"
"26","3379.2"
"29","407500"
"75/76B","161.46"
"133","30238"
"130/1","1860"
"42","25327.84"
"43","2361.49"
"44","16223.07"
"45","97234.14"
"14P","25839.8"
"8329","66608"
"22/27","147680.51"
"8199P","208145.95"
"10/49","619310.14"
"65","8596.16"
"21/28","147680.51"
"20/58","619310.14"
"291","407500"
"10/11","18600"
"10/15","285682.4"
"75","161.46"
"170/4","79392.02"
"450/3","97234.14"
"54/58","61454.95"
"630","46659.72"
"65/66B","8596.16"
"8329P","19948.28"
"9903","285153.74"
"9900","346512.63"
"9901","293588.44"
"9906","234984.4"
"9904","209144.6"
"9905","209144.6"
"42/48","254235.72"
"8279","46659.72"
"440/4","16223.07"
"8169","6142.56"
"47/48","113089.18"
"172/3","79392.02"
"640/8","6264.47"
"490/1","2674.68"
"29/58","471629.63"
"17/49","333627.74"
"8199","214288.51"
"430/8","2361.49"
"1311","1860"
"67/77","76009.14"
