
"Reference number","2026-00154002"
"Entity number","0449368633"
"Accounting period start date","2025-01-01"
"Accounting period end date","2025-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","ALEPY"
"Entity address street","Irislaan"
"Entity address number","2"
"Entity postal code","8434"
"Entity city","Westende"
"Entity country","België"
"General assembly date","2026-06-05"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","7770.25"
"111","345062.41"
"13","519120.94"
"14","108844.42"
"16","128204.88"
"17","365684.11"
"22","1575742.49"
"23","11082.31"
"75/76B","51.01"
"132","384614.7"
"133","100000"
"130/1","34506.24"
"40","3342.16"
"41","4428.09"
"42","36493.97"
"44","1731.37"
"45","4091.6"
"14P","86437.15"
"8329","668082.22"
"22/27","1586824.8"
"168","128204.88"
"8199P","2197440.11"
"10/49","1638629.26"
"65","8805.52"
"21/28","1586824.8"
"20/58","1638629.26"
"10/11","345062.41"
"10/15","973027.77"
"75","51.01"
"170/4","365684.11"
"450/3","4091.6"
"54/58","44034.21"
"630","71655.4"
"65/66B","8869.52"
"8329P","596426.82"
"9903","11940.06"
"9900","103309.67"
"9901","20758.57"
"9906","108844.42"
"9904","11476.69"
"9905","22407.27"
"42/48","171712.5"
"8279","71655.4"
"440/4","1731.37"
"8169","57466.91"
"47/48","129395.56"
"780","3643.53"
"789","10930.58"
"66B","64"
"640/8","10895.7"
"29/58","51804.46"
"17/49","537396.61"
"8199","2254907.02"
"1311","34506.24"
"174/0","365684.11"
"67/77","4106.9"
