
"Reference number","2025-00407083"
"Entity number","0477598603"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Marabelle"
"Entity address street","Rue Beaugrand"
"Entity address number","23"
"Entity postal code","7190"
"Entity city","Ecaussinnes"
"Entity country","Belgique"
"General assembly date","2025-05-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","11404.01"
"492/3","7000.79"
"10","353000"
"13","100770"
"14","1543.04"
"17","148000"
"3","1437.5"
"22","573735.43"
"23","25098.32"
"24","759.76"
"26","15360.68"
"27","2769.5"
"28","450"
"75/76B","6.66"
"133","65470"
"6921","12370"
"694/7","5000"
"130/1","35300"
"40","11272.33"
"41","131.68"
"44","31731.56"
"45","1724.32"
"14P","1533.53"
"8329","108381.61"
"22/27","617723.69"
"8199P","695894.13"
"10/49","661357.19"
"65","3895.18"
"21/28","618173.69"
"20/58","661357.19"
"10/11","353000"
"10/15","455313.04"
"75","6.66"
"170/4","148000"
"8395P","450"
"450/3","1724.32"
"54/58","29290.82"
"630","19779.81"
"65/66B","3895.18"
"691/2","12370"
"8329P","88601.8"
"9903","22602.72"
"9900","51447.24"
"9901","26491.24"
"9906","18913.04"
"9904","17379.51"
"9905","17379.51"
"42/48","51043.36"
"8279","19779.81"
"8395","450"
"440/4","31731.56"
"8169","30211.17"
"47/48","17587.48"
"640/8","5176.19"
"490/1","1051.17"
"30/36","1437.5"
"29/58","43183.5"
"17/49","206044.15"
"8199","726105.3"
"697","5000"
"1311","35300"
"174/0","148000"
"100","353000"
"67/77","5223.21"
