
"Reference number","2025-00444099"
"Entity number","0467140518"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LE 34"
"Entity address street","Chaussée de Charleroi"
"Entity address number","50"
"Entity postal code","1060"
"Entity city","Saint-Gilles"
"Entity country","Belgique"
"General assembly date","2025-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","250678.87"
"492/3","4899.64"
"1341","7"
"454/9","133609.72"
"111","90840"
"1213","5.2"
"1212","3"
"1211","4"
"12","1689282.34"
"13","542541.6"
"14","-2096477.3"
"15","93101.44"
"17","2337539.88"
"1103","9.4"
"1102","2"
"1343","8"
"1101","8"
"1342","2"
"22","2325282.34"
"23","10517.74"
"24","42039.75"
"26","747990.71"
"12011","5"
"75/76B","38396.43"
"9087","11.1"
"133","533457.6"
"1113","4.3"
"1112","6"
"1111","2"
"12013","6.7"
"12012","3"
"1011","11548"
"1003","11.1"
"1002","7.6"
"1001","7.9"
"130/1","9084"
"8129P","170634.39"
"40","141302"
"41","109376.87"
"42","208524.9"
"43","75960.04"
"44","116388.02"
"45","152097.73"
"1022","137438.68"
"1021","322715.42"
"14P","-1865014.08"
"1013","16466"
"1012","4918"
"8329","4548254.64"
"12111","4"
"12113","4"
"22/27","3125830.54"
"1023","460154.1"
"12002","2"
"12001","1"
"12003","1.8"
"8199P","5400728.53"
"62","460154.1"
"10/49","4176744.18"
"65","132116.62"
"66","31865.14"
"21/28","3125830.54"
"20/58","4176744.18"
"10/11","90840"
"10/15","319288.08"
"75","38396.43"
"170/4","2337539.88"
"1003P","9.1"
"1053","13.7"
"1052","8"
"1051","10"
"8395P","5025.49"
"8912","708735.44"
"8913","1628804.44"
"12103","1.2"
"12102","3"
"8375","5025.49"
"8259","2222739.94"
"450/3","18488.01"
"54/58","762057.84"
"630","464396.62"
"65/66B","132116.62"
"8129","170634.39"
"8059P","170634.39"
"8329P","4083858.02"
"1013P","15145"
"9903","-225883.22"
"9900","859016.53"
"9901","-132163.03"
"9906","-2096477.3"
"9904","-231463.22"
"9905","-231463.22"
"42/48","1515016.58"
"8279","464396.62"
"2053","17"
"2052","27"
"2051","8"
"440/4","116388.02"
"8169","50616.71"
"47/48","962045.89"
"1023P","421063.21"
"172/3","2337539.88"
"66A","31865.14"
"8059","170634.39"
"640/8","34763.7"
"490/1","38176.93"
"3053","11.5"
"3052","20"
"3051","5"
"29/58","1050913.64"
"17/49","3857456.1"
"8199","5451345.24"
"430/8","75960.04"
"1311","9084"
"8259P","2222739.94"
"1203","8.5"
"1323","5.7"
"1202","5"
"1322","6"
"1201","6"
"1321","3"
"67/77","5580"
