
"Reference number","2024-00110881"
"Entity number","0440927851"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","BOULANGER"
"Entity address street","Rue Cherapont"
"Entity address number","2"
"Entity postal code","6670"
"Entity city","Gouvy"
"Entity country","Belgique"
"General assembly date","2024-05-14"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","2098.66"
"454/9","4997.64"
"10","298700.01"
"13","20540.39"
"14","68663.86"
"3","25699"
"22","397957.27"
"23","6179.12"
"28","1244.95"
"75/76B","0.8"
"130","15582.52"
"133","4957.87"
"6920","2134.89"
"8309","6197.34"
"1011","322"
"1003","1.4"
"1002","2"
"1001","0.1"
"130/1","15582.52"
"40","665.13"
"41","1433.53"
"42","13178.53"
"44","6583.65"
"45","7648.91"
"1022","52177.17"
"1021","7059.13"
"14P","28100.79"
"1013","2631"
"1012","2309"
"8329","925627.49"
"22/27","404136.39"
"1023","59236.3"
"8199P","1335961.22"
"62","61219.38"
"10/49","459397.79"
"65","3665.36"
"21/28","405381.34"
"20/58","459397.79"
"10/11","298700.01"
"10/15","387904.26"
"75","0.8"
"1003P","1"
"8395P","1244.95"
"450/3","2651.27"
"54/58","24202.77"
"630","8411.82"
"65/66B","3665.36"
"691/2","2134.89"
"8329P","923413.01"
"1013P","2178"
"9903","57122.99"
"9900","153614.06"
"9901","60787.55"
"9906","70798.75"
"9904","42697.96"
"9905","42697.96"
"42/48","71493.53"
"76A","413.22"
"8279","8411.82"
"2053","3.7"
"2052","6"
"8395","1244.95"
"440/4","6583.65"
"47/48","44082.44"
"1023P","45012.81"
"8179","6197.34"
"66A","121"
"640/8","23074.31"
"490/1","2016.02"
"3053","3.7"
"3052","6"
"30/36","25699"
"29/58","54016.45"
"17/49","71493.53"
"8199","1329763.88"
"100","298700.01"
"67/77","14425.03"
