
"Reference number","2023-00418953"
"Entity number","0477308987"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Jilani"
"Entity address street","Blvd Jardin Botanique"
"Entity address number","7"
"Entity postal code","1000"
"Entity city","Bruxelles"
"Entity country","Belgique"
"General assembly date","2023-06-05"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","8863.91"
"9062","435322.40"
"11","18600"
"13","21860"
"14","-187991.53"
"17","364601.30"
"22","561056.44"
"23","2526.56"
"24","13039"
"130","1860"
"133","20000"
"130/1","1860"
"40","6171.28"
"41","2692.63"
"42","70721.10"
"44","4301.92"
"14P","-160227.47"
"8329","546035.34"
"22/27","576622"
"8199P","1122657.34"
"10/49","586336.03"
"65","2801.33"
"21/28","576622"
"20/58","586336.03"
"10/11","18600"
"10/15","-147531.53"
"170/4","364601.30"
"8912","194619.49"
"8913","169981.81"
"54/58","850.12"
"630","49401.58"
"65/66B","2801.33"
"8922","435322.40"
"8329P","496633.76"
"9903","-27764.06"
"9900","33543.92"
"9901","-24962.73"
"9906","-187991.53"
"9904","-27764.06"
"9905","-27764.06"
"42/48","369266.26"
"8279","49401.58"
"892","435322.40"
"440/4","4301.92"
"47/48","294243.24"
"91811","563583"
"172/3","364601.30"
"640/8","9105.07"
"1109/19","18600"
"29/58","9714.03"
"17/49","733867.56"
"8199","1122657.34"
