
"Reference number","2025-00552806"
"Entity number","0427325085"
"Accounting period start date","2024-04-01"
"Accounting period end date","2025-03-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Gruuthof"
"Entity address street","Gistelsteenweg"
"Entity address number","77V1"
"Entity postal code","8490"
"Entity city","Jabbeke"
"Entity country","België"
"General assembly date","2025-09-29"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","4911.65"
"9500","4911.65"
"492/3","69.46"
"110","570000"
"8525","0"
"13","1021498.12"
"14","171667.02"
"16","109816.28"
"17","181298.48"
"22","1825265.34"
"23","4872.38"
"28","67.97"
"75/76B","4190.11"
"132","213267.83"
"133","808230.29"
"6921","79143.27"
"8309","551.04"
"694/7","225991.1"
"40","0"
"41","4911.65"
"42","49937.25"
"43","15671.08"
"44","14629.29"
"45","11563.34"
"14P","171667.02"
"791/2","225991.1"
"8329","1831819.01"
"22/27","1830137.72"
"168","109816.28"
"8199P","3649537.3"
"10/49","2383861.68"
"65","9457.95"
"21/28","1830205.69"
"20/58","2383861.68"
"10/11","570000"
"10/15","1763165.14"
"75","4190.11"
"170/4","181298.48"
"8395P","67.97"
"450/3","11563.34"
"54/58","538071.54"
"630","53939.31"
"65/66B","9457.95"
"691/2","79143.27"
"8329P","1778430.74"
"9903","99573.35"
"9900","181413.01"
"9901","104841.19"
"9906","250810.29"
"9904","67872.07"
"9905","79143.27"
"42/48","329512.32"
"8279","53939.31"
"8395","67.97"
"440/4","14629.29"
"8722","0"
"8169","13178.28"
"47/48","237711.36"
"780","5803.79"
"789","11271.2"
"172/3","181298.48"
"8179","758.85"
"91611","838352.11"
"640/8","22632.51"
"50/53","0"
"490/1","10672.8"
"29/58","553655.99"
"17/49","510880.26"
"8199","3661956.73"
"430/8","15671.08"
"694","225991.1"
"91621","635647.83"
"67/77","37505.07"
