
"Reference number","2023-00489551"
"Entity number","0477924146"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LEMBRIX"
"Entity address street","Rue Abbé Dossogne, Hockai"
"Entity address number","27"
"Entity postal code","4970"
"Entity city","Stavelot"
"Entity country","Belgique"
"General assembly date","2023-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","9233.12"
"164/5","7226.39"
"10","115550.00"
"13","20664.05"
"14","124291.32"
"16","14209.88"
"17","228233.41"
"22","301092.23"
"23","5198.50"
"24","72.83"
"26","4471.89"
"75/76B","2488.39"
"130","11555.00"
"132","5000.00"
"133","4109.05"
"130/1","11555.00"
"40","6147.67"
"41","3085.45"
"44","5026.04"
"14P","94919.21"
"8329","474883.45"
"22/27","310835.45"
"162","2254.44"
"163","4729.05"
"8199P","780025.98"
"10/49","512170.54"
"65","130.16"
"21/28","310835.45"
"20/58","512170.54"
"70","142746.91"
"10/11","115550.00"
"10/15","260505.37"
"75","2488.39"
"170/4","228233.41"
"8913","228233.41"
"54/58","192101.97"
"630","31843.02"
"65/66B","130.16"
"160/5","14209.88"
"8329P","443040.43"
"9903","38372.11"
"9900","74012.75"
"9901","36013.88"
"9906","124291.32"
"9904","29372.11"
"9905","29372.11"
"60/61","68734.16"
"42/48","9221.88"
"8279","31843.02"
"440/4","5026.04"
"8169","5692.92"
"47/48","4195.84"
"640/8","6155.85"
"29/58","201335.09"
"17/49","237455.29"
"8199","785718.90"
"174/0","228233.41"
"100","115550.00"
"67/77","9000.00"
