
"Reference number","2025-00445269"
"Entity number","0548731869"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Marlot Kin"
"Entity address street","Boomgaardstraat"
"Entity address number","44"
"Entity postal code","2600"
"Entity city","Berchem (Antwerpen)"
"Entity country","België"
"General assembly date","2025-05-19"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","453.82"
"110","18600"
"8525","13030"
"13","94569.42"
"14","-119741.82"
"75/76B","21.88"
"133","94569.42"
"41","453.82"
"44","1383.17"
"45","50"
"14P","-124616.42"
"8329","75355.94"
"8199P","75355.94"
"10/49","1291.10"
"65","2003.55"
"20/58","1291.10"
"10/11","18600"
"10/15","-6572.40"
"75","21.88"
"8395P","13030"
"450/3","50"
"54/58","40.25"
"630","864.94"
"65/66B","2003.55"
"8329P","74491"
"9903","4930.49"
"9900","8673.64"
"9901","6912.16"
"9906","-119741.82"
"9904","4874.60"
"9905","4874.60"
"42/48","7863.50"
"8279","864.94"
"8395","13030"
"440/4","1383.17"
"47/48","6430.33"
"8525P","13030"
"640/8","896.54"
"490/1","797.03"
"29/58","1291.10"
"17/49","7863.50"
"8199","75355.94"
"67/77","55.89"
