
"Reference number","2025-00187118"
"Entity number","0643882733"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","J & E Holdings"
"Entity address street","Rue des Vergers"
"Entity address number","13/1"
"Entity postal code","6990"
"Entity city","Hotton"
"Entity country","Belgique"
"General assembly date","2025-06-10"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","1840942.8"
"111","18600"
"13","1758378.27"
"17","393494.87"
"3","268693.89"
"22","525558.33"
"23","35177.44"
"75/76B","66226.83"
"133","1750268.27"
"130/1","8110"
"40","82485"
"41","1758457.8"
"42","194904.83"
"43","128969.78"
"44","109342.38"
"45","21705.03"
"791/2","9796.01"
"8329","136965.44"
"22/27","560735.77"
"8199P","697701.21"
"10/49","2670395.16"
"65","38173.83"
"21/28","560735.77"
"20/58","2670395.16"
"10/11","18600"
"10/15","1776978.27"
"75","66226.83"
"170/4","393494.87"
"450/3","21705.03"
"54/58","22.7"
"630","17674.18"
"65/66B","38173.83"
"8329P","119291.26"
"9903","-4367.33"
"9900","15404.95"
"9901","-32420.33"
"9906","-9796.01"
"9904","-9796.01"
"9905","-9796.01"
"42/48","499922.02"
"8279","17674.18"
"440/4","109342.38"
"47/48","45000"
"172/3","393494.87"
"640/8","30151.1"
"439","100000"
"30/36","268693.89"
"29/58","2109659.39"
"17/49","893416.89"
"8199","697701.21"
"430/8","28969.78"
"1311","8110"
"67/77","5428.68"
