
"Reference number","2023-00171585"
"Entity number","0432372946"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","BEST Technology Of Design"
"Entity address street","Rue Roc Saint-Nicaise"
"Entity address number","18"
"Entity postal code","7500"
"Entity city","Tournai"
"Entity country","Belgique"
"General assembly date","2023-05-09"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","2338.44"
"454/9","1947.32"
"110","157184.03"
"13","1678.18"
"14","-87560.05"
"17","304648.20"
"22","587606.31"
"24","536.77"
"28","25"
"75/76B","6.33"
"1113","0.3"
"1112","1"
"1003","0.4"
"1002","1"
"130/1","1678.18"
"40","174.24"
"41","2164.20"
"42","26202.29"
"44","19245.11"
"45","1947.32"
"1022","12625.91"
"14P","-97538.86"
"1013","701"
"1012","701"
"8329","96732.58"
"22/27","588143.08"
"1023","12625.91"
"12002","1"
"12003","0.3"
"8199P","684875.66"
"10/49","610886.87"
"62","12625.91"
"65","7824.96"
"21/28","588168.08"
"20/58","610886.87"
"10/11","157184.03"
"10/15","71302.16"
"75","6.33"
"170/4","304648.20"
"1053","0.3"
"1052","1"
"8395P","25"
"54/58","19554.61"
"630","24652.11"
"65/66B","7824.96"
"8329P","72080.47"
"9903","9978.81"
"9900","61183.97"
"9901","17797.44"
"9906","-87560.05"
"9904","9978.81"
"9905","9978.81"
"42/48","234936.51"
"8279","24652.11"
"2053","0.5"
"2052","1"
"8395","25"
"440/4","19245.11"
"47/48","187541.79"
"172/3","304648.20"
"640/8","6108.51"
"490/1","825.74"
"29/58","22718.79"
"17/49","539584.71"
"8199","684875.66"
"1311","1678.18"
"1203","0.3"
"1202","1"
"1323","0.3"
"1322","1"
