
"Reference number","2024-00137316"
"Entity number","0432844385"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Molenerf"
"Entity address street","Baarleveldestraat"
"Entity address number","2"
"Entity postal code","9031"
"Entity city","Drongen"
"Entity country","België"
"General assembly date","2024-05-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","843691.42"
"8455P","0"
"8525","0"
"10","61500"
"13","1039118.38"
"16","173215"
"28","327619"
"8555","0"
"75/76B","16545.58"
"130","6150"
"133","1032968.38"
"6921","9225.68"
"130/1","6150"
"41","843691.42"
"44","1251.35"
"45","175.23"
"8455","0"
"160","173215"
"10/49","1275259.96"
"8555P","0"
"65","147"
"21/28","327619"
"20/58","1275259.96"
"10/11","61500"
"10/15","1100618.38"
"75","16545.58"
"8395P","327619"
"450/3","175.23"
"54/58","103949.54"
"65/66B","147"
"160/5","173215"
"691/2","9225.68"
"9903","12300.91"
"9900","-3005.71"
"9901","-4097.67"
"9906","9225.68"
"9904","9225.68"
"9905","9225.68"
"42/48","1426.58"
"8395","327619"
"440/4","1251.35"
"47/48","0"
"8525P","0"
"640/8","1091.96"
"29/58","947640.96"
"17/49","1426.58"
"100","61500"
"67/77","3075.23"
