
"Reference number","2023-00339341"
"Entity number","0415861764"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LE SANGLIER DES ARDENNES"
"Entity address street","Rue du Comte Théodule d'Ursel"
"Entity address number","14"
"Entity postal code","6940"
"Entity city","Durbuy"
"Entity country","Belgique"
"General assembly date","2023-04-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"1213","52.2"
"1212","16"
"1211","41"
"10032P","47.5"
"5811","8"
"5812","106"
"5813","11682"
"3","976811.69"
"8053P","1073404.01"
"6920","8284.51"
"5851","1"
"3431","1059"
"1011","193375"
"100P","2819072.04"
"8052P","72253.05"
"3423","5"
"1003","129.8"
"1002","20"
"3421","5"
"1001","115.8"
"10031P","59.2"
"10231P","2323306"
"2111","152"
"1022","607712.75"
"1021","5547677.51"
"2103","906.6"
"3433","1070"
"2102","10"
"1013","214558"
"3432","16"
"2101","899"
"1012","21183"
"5852","1801"
"5853","8107"
"10232P","1815693"
"1033","30510"
"2113","157.9"
"2112","9"
"1023","6155390.26"
"609","-105443.42"
"170/4","20154072.27"
"1053","129"
"1052","24"
"1051","112"
"620","3957831.74"
"621","1752056.34"
"622","66970.28"
"623","378531.9"
"8912","4153311.65"
"8913","16000760.62"
"630","2396974.44"
"65/66B","1423999.98"
"10011","71.3"
"6502","1398455.50"
"10012","44.5"
"640","91991.96"
"10022","15.1"
"10021","4.9"
"664/7","384.77"
"650","1398455.50"
"10231","3761088.67"
"10232","2394301.59"
"440/4","1359078.41"
"7630","7517.96"
"1023P","4138999"
"66A","384.77"
"640/8","91991.96"
"10211","3597390.94"
"10212","1950286.57"
"3053","1075"
"3052","16"
"3051","1064"
"10222","444015.02"
"10221","163697.73"
"450","1449.77"
"211","11050.88"
"212","589637.00"
"285/8","6640"
"492/3","77569.78"
"600/8","5166782.25"
"8303","12941.93"
"12131","1"
"75/76B","33110.8"
"252","42951.78"
"12133","1"
"8321","8570810.47"
"8322","1114875.10"
"8323","566894.78"
"8324","10048.22"
"130/1","44654.39"
"12112","16"
"12111","38"
"12113","49.2"
"8583","2157"
"12121","2"
"22/27","27427052.71"
"12123","2"
"10/49","31582665.13"
"20/58","31582665.13"
"10/11","7200608.19"
"10/15","7821506.69"
"8123","483767.01"
"8122","61202.17"
"285/8P","4483"
"54/58","2188313.97"
"8163","77981.74"
"8164","53000"
"8161","1729071.20"
"8162","145649.34"
"8173","23908.29"
"490/1","57049.92"
"1303","1"
"1301","1"
"58132","8417"
"8192","2071143.47"
"58131","3265"
"8193","1074964.78"
"8191","34490573.03"
"8194","53000"
"1323","106.4"
"1322","22"
"1321","91"
"40/41","326108.96"
"1341","19"
"454/9","650156.48"
"1333","1"
"1331","1"
"9073","101158.70"
"9077","650156.48"
"1103","114.7"
"1102","18"
"1343","20.6"
"1101","102"
"1342","2"
"9087","129.8"
"9088","214558"
"9086","136"
"1113","14.3"
"1112","6"
"1111","10"
"670/3","1449.77"
"10132P","66885"
"3101","915"
"10131P","85584"
"3112","5"
"3111","149"
"3103","923.3"
"3102","11"
"10332P","9516"
"450/3","102608.47"
"3113","151.7"
"10132","83458"
"8802","4153311.65"
"10131","131100"
"8803","16000760.62"
"8801","1122515.58"
"1013P","152469"
"9903","117140.01"
"9901","1508029.19"
"9906","-5452773.61"
"9904","130690.24"
"9905","165690.24"
"42/48","3463772.22"
"76A","7517.96"
"8831","9917.95"
"8832","33311.65"
"2053","1064.5"
"2052","19"
"2051","1051"
"10112","67981"
"10111","125394"
"8842","4120000"
"8843","9270000"
"10331P","9849"
"8841","1112597.63"
"652/9","25544.48"
"780","15000"
"10121","5706"
"789","35000"
"10122","15477"
"8853","6730760.62"
"8192P","1925494.13"
"794","5618463.85"
"70/76A","21931516.01"
"10332","13452"
"10331","17058"
"30/36","976811.69"
"29/58","3548284.54"
"8191P","32761501.83"
"1033P","19365"
"17/49","23695414.27"
"8193P","1020891.33"
"100","7200608.19"
"58032","13283"
"58031","2265"
"8322P","841432.62"
"10","7200608.19"
"13","198057.46"
"14","157405.73"
"15","265435.31"
"16","65744.17"
"17","20154072.27"
"8321P","6778348.30"
"21","600687.88"
"22","25919762.56"
"23","956268.37"
"24","508070"
"25","42951.78"
"12011","70"
"28","6640"
"60/66A","20423486.82"
"130","44654.39"
"132","153403.07"
"12013","75.8"
"12012","8"
"34","976811.69"
"12021","1"
"12023","1"
"8323P","387065.93"
"40","258163.19"
"41","67945.77"
"42","1122515.58"
"44","1359078.41"
"45","752764.95"
"46","222289.72"
"14P","-5618463.85"
"168","65744.17"
"60","5061338.83"
"61","6717406.56"
"62","6155390.26"
"65","1423999.98"
"66","384.77"
"21/28","28034380.59"
"10031","74.6"
"172","33311.65"
"173","13390000"
"174","6730760.62"
"10032","55.2"
"70","20463319.95"
"72","74030.85"
"74","1386647.25"
"75","33110.8"
"76","7517.96"
"752/9","33110.80"
"1003P","106.7"
"691/2","8284.51"
"9125","31642.8"
"8273","192770.78"
"8274","10048.22"
"8271","1792462.17"
"8272","273442.48"
"8122P","40291.78"
"9134","1449.77"
"9137","1449.77"
"47/48","7123.56"
"9146","3275327.06"
"9147","493006.73"
"9145","2545369.71"
"8053","1073404.01"
"8052","72253.05"
"8123P","376426.61"
"8072","20910.39"
"284/8","6640"
"8073","107340.40"
"1203","76.8"
"1202","8"
"1201","71"
"5801","5"
"67/77","1449.77"
"5802","68"
"5803","15548"
