
"Reference number","2025-00296901"
"Entity number","0428136026"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","DEN OESTERPUT"
"Entity address street","Bieststraat"
"Entity address number","100"
"Entity postal code","8560"
"Entity city","Wevelgem"
"Entity country","België"
"General assembly date","2025-06-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","119869.84"
"492/3","126"
"454/9","7059.67"
"8455P","0"
"8525","0"
"10","142538.78"
"13","33003.88"
"14","-282869.59"
"3","5653.31"
"20","107.25"
"22","68539.11"
"23","13533.7"
"24","15079.98"
"26","98450.82"
"28","871.54"
"8555","0"
"75/76B","3230.7"
"130","14253.88"
"132","18750"
"8309","347.06"
"1003","0.4"
"1002","0.4"
"130/1","14253.88"
"40","9775.23"
"41","110094.61"
"44","14813.86"
"45","7654.91"
"46","1575"
"8455","0"
"1022","9731.8"
"14P","-294774.57"
"1013","655"
"1012","655"
"8329","1124279.48"
"22/27","195603.61"
"1023","9731.8"
"8199P","1283274.37"
"62","9731.8"
"10/49","326264.09"
"8555P","0"
"65","5621.14"
"21/28","196475.15"
"20/58","326264.09"
"10/11","142538.78"
"10/15","-107326.93"
"75","3230.7"
"1003P","0.3"
"8395P","871.54"
"8259","0"
"450/3","595.24"
"54/58","3561.61"
"630","13895.97"
"65/66B","5621.14"
"8329P","1110968.05"
"1013P","601"
"9903","12413.44"
"9900","50761.63"
"9901","14803.88"
"9906","-282869.59"
"9904","11904.98"
"9905","11904.98"
"42/48","433465.02"
"8279","13658.49"
"2053","21"
"2051","21"
"8395","871.54"
"440/4","14813.86"
"8169","36955.78"
"47/48","409421.25"
"1023P","9056.3"
"8525P","0"
"8179","347.06"
"640/8","12329.98"
"490/1","596.93"
"3053","21"
"3051","21"
"30/36","5653.31"
"29/58","129681.69"
"17/49","433591.02"
"8199","1319883.09"
"8259P","0"
"100","142538.78"
"67/77","508.46"
