
"Reference number","2024-00267105"
"Entity number","0440614085"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","WCK Management"
"Entity address street","Beskensstraat"
"Entity address number","98"
"Entity postal code","3520"
"Entity city","Zonhoven"
"Entity country","België"
"General assembly date","2024-05-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","13310.28"
"454/9","3768.27"
"111","18600"
"1333","1"
"1331","1"
"13","1132646.7"
"14","-141209.33"
"16","322047.88"
"17","1446726.53"
"22","2336053.85"
"23","37583.5"
"24","123055.59"
"12011","1"
"75/76B","5012.23"
"132","966143.61"
"133","164643.09"
"1113","1"
"1111","1"
"12013","1"
"1011","1771"
"694/7","96248.41"
"1003","1.5"
"1001","1.5"
"130/1","1860"
"40","6761.25"
"41","6549.03"
"42","19877.16"
"44","6033.38"
"45","8005.28"
"1021","27486.32"
"14P","39800.21"
"791/2","105047.83"
"1013","1771"
"8329","323072.03"
"22/27","2496692.94"
"168","322047.88"
"1023","27486.32"
"8199P","2281728.81"
"62","27486.32"
"10/49","2961485.33"
"65","41876.18"
"21/28","2496692.94"
"20/58","2961485.33"
"10/11","18600"
"10/15","1010037.37"
"75","5012.23"
"170/4","1446726.53"
"1003P","0.4"
"1053","1"
"1051","1"
"450/3","4237.01"
"54/58","184634.63"
"630","88020.95"
"65/66B","55012.67"
"8329P","235051.08"
"1013P","232"
"9903","-252798.86"
"9900","-83504.59"
"9901","-202798.42"
"9906","-150008.75"
"9904","-253060.89"
"9905","-189808.96"
"42/48","182673.55"
"8279","88020.95"
"2053","150"
"2051","150"
"440/4","6033.38"
"8169","538036.16"
"47/48","148757.73"
"789","63251.93"
"1023P","3632.01"
"172/3","1446726.53"
"66B","13136.49"
"640/8","3786.56"
"50/53","255222.62"
"490/1","11624.86"
"3053","151"
"3051","151"
"29/58","464792.39"
"17/49","1629400.08"
"8199","2819764.97"
"694","96248.41"
"1311","1860"
"1203","1"
"1201","1"
"67/77","262.03"
