
"Reference number","2022-20003276"
"Entity number","0434480618"
"Accounting period start date","2020-10-01"
"Accounting period end date","2021-09-30"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","STUDIO-HOME"
"Entity address street","Sint-Amandplein"
"Entity address number","2"
"Entity postal code","9000"
"Entity city","Gent"
"Entity country","België"
"General assembly date","2022-03-11"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"492/3","16045"
"454/9","0"
"10","490000"
"13","114000"
"14","245359"
"17","2547838"
"22","2650171"
"23","20464"
"24","60963"
"26","1266792"
"130","49000"
"6921","65000"
"130/1","114000"
"42","318918"
"44","46087"
"45","38054"
"14P","244264"
"8329","3235334"
"22/27","3998390"
"8199P","7072593"
"10/49","4041529"
"65","72602"
"21/28","3998390"
"20/58","4041529"
"10/11","490000"
"10/15","849359"
"170/4","2300159"
"178/9","247679"
"8912","1560202"
"8913","987636"
"450/3","38054"
"54/58","39842"
"630","334028"
"65/66B","72602"
"691/2","65000"
"8329P","2901306"
"9903","104100"
"9900","545960"
"9901","176702"
"9906","310359"
"9904","66095"
"9905","66095"
"42/48","628287"
"8279","334028"
"440/4","46087"
"8169","161131"
"47/48","225228"
"172/3","2300159"
"640/8","35230"
"490/1","3297"
"29/58","43139"
"17/49","3192170"
"8199","7233724"
"1319","65000"
"100","490000"
"67/77","38005"
