
"Reference number","2026-00080233"
"Entity number","0672607403"
"Accounting period start date","2024-10-01"
"Accounting period end date","2025-09-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","CHALETPARK ZUTENDAAL"
"Entity address street","Beverstseweg"
"Entity address number","15"
"Entity postal code","3690"
"Entity city","Zutendaal"
"Entity country","België"
"General assembly date","2026-03-27"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","68821.35"
"111","25389.3"
"8525","0"
"12","78751.61"
"13","283154.95"
"14","-7448.48"
"22","422490.29"
"28","5000"
"75/76B","1958.38"
"133","245858.15"
"6921","0"
"130/1","37296.8"
"40","32745"
"41","36076.35"
"44","76821.98"
"45","0"
"14P","0"
"8329","315942.85"
"22/27","422490.29"
"8199P","738433.14"
"10/49","497144.61"
"65","526.69"
"21/28","427490.29"
"20/58","497144.61"
"10/11","25389.3"
"10/15","379847.38"
"75","1958.38"
"8395P","5000"
"450/3","0"
"54/58","832.97"
"630","31085.6"
"65/66B","526.69"
"691/2","0"
"8329P","284857.25"
"9903","-7448.48"
"9900","26171.77"
"9901","-8880.17"
"9906","-7448.48"
"9904","-7448.48"
"9905","-7448.48"
"42/48","117297.23"
"8279","31085.6"
"8395","5000"
"440/4","76821.98"
"47/48","40475.25"
"640/8","3966.34"
"29/58","69654.32"
"17/49","117297.23"
"8199","738433.14"
"1311","37296.8"
"67/77","0"
