
"Reference number","2024-00177042"
"Entity number","0466031451"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","NV CIRCUS RASTELLI"
"Entity address street","HOORNZEELSTRAAT"
"Entity address number","63"
"Entity postal code","3080"
"Entity city","Tervuren"
"Entity country","België"
"General assembly date","2024-06-03"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","1190934.61"
"1341","1"
"454/9","139635.8"
"9062","2483843.52"
"1213","15.5"
"1212","13"
"1211","9"
"10","2845400"
"13","3475033.97"
"14","-1396851.08"
"15","72633.22"
"16","1090451.39"
"17","2153455.38"
"3","12435.33"
"1103","25.5"
"1102","15"
"1343","1.8"
"1101","18"
"1342","1"
"21","455733.75"
"22","7552298.92"
"23","46148.74"
"24","29300.63"
"25","349939.92"
"26","143363.95"
"28","13115"
"29","817988.04"
"75/76B","10652.72"
"9087","24.9"
"130","3860"
"132","3470218.06"
"133","955.91"
"1113","1"
"1112","7"
"12013","0.1"
"12012","1"
"1011","29274"
"1003","24.9"
"1002","22.3"
"1001","17"
"130/1","3860"
"8129P","196083.86"
"40","185841.79"
"41","1005092.82"
"42","342050.77"
"44","1686260.44"
"45","211302.22"
"1022","299885.16"
"1021","769331.18"
"14P","-1719413.95"
"1013","40685"
"1012","11411"
"8329","9440636.24"
"22/27","8121052.16"
"162","46250"
"168","1044201.39"
"1023","1069216.34"
"12002","8"
"12001","9"
"12003","10.9"
"8199P","15503993.6"
"62","1069216.34"
"10/49","10827675.46"
"65","122191.37"
"21/28","8589900.91"
"20/58","10827675.46"
"291","817988.04"
"10/11","2845400"
"10/15","4996216.11"
"75","10652.72"
"170/4","2153455.38"
"1003P","23.1"
"1053","26.5"
"1052","22"
"1051","18"
"8395P","1292879.2"
"12101","9"
"8912","2109010.96"
"8913","44444.42"
"12103","15.5"
"12102","13"
"8375","1279764.2"
"450/3","71666.42"
"54/58","201646.9"
"630","549721.68"
"65/66B","122191.37"
"753","10647.93"
"8129","255646.69"
"160/5","46250"
"8922","2483843.52"
"8059P","313473.13"
"8329P","8696399.22"
"8029","397907.31"
"1013P","38262"
"9903","76818.44"
"9900","1859864.46"
"9901","188357.09"
"9906","-1396851.08"
"9904","64008"
"9905","322562.87"
"42/48","2587552.58"
"91711","275000"
"8279","490158.85"
"2053","140.6"
"2052","53"
"2051","126"
"8395","13115"
"892","2483843.52"
"440/4","1686260.44"
"8169","2057694.8"
"47/48","347939.15"
"780","92550.6"
"789","258554.87"
"1023P","924360.76"
"172/3","2153455.38"
"8299","254078.17"
"91611","6560624.92"
"8059","711380.44"
"640/8","52569.35"
"490/1","14769.67"
"3053","137.7"
"3052","53"
"3051","124"
"30/36","12435.33"
"29/58","2237774.55"
"8079","59562.83"
"17/49","4741007.96"
"8199","17561688.4"
"91631","14388850"
"91621","1292500"
"100","2845400"
"1203","11"
"1323","24.7"
"1202","9"
"1322","21"
"1201","9"
"1321","17"
"67/77","105361.04"
