
"Reference number","2025-00296879"
"Entity number","0670958896"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","EXPLOITATIEMAATSCHAPPIJ MB"
"Entity address street","Monnikenwerve"
"Entity address number","17-19"
"Entity postal code","8000"
"Entity city","Brugge"
"Entity country","België"
"General assembly date","2025-07-18"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","185562.77"
"1341","6"
"454/9","78075.69"
"58032","807"
"110","100000"
"1213","5.5"
"1212","1"
"1211","5"
"5813","3236"
"13","104038.57"
"14","0"
"3","7677.57"
"1103","7.5"
"1102","1"
"1343","6.5"
"1101","7"
"1342","1"
"5823","81.39"
"23","44445.12"
"24","3305.28"
"12011","3"
"75/76B","470.45"
"9087","10.9"
"133","103195.68"
"1113","1"
"1111","1"
"12013","3"
"6920","842.89"
"5833","46.84"
"6921","16014.82"
"1011","15128"
"694/7","0"
"1003","10.9"
"1002","1.2"
"1001","10.3"
"130/1","842.89"
"40","160895.85"
"41","24666.92"
"44","151919.18"
"45","82180.08"
"1022","25621.6"
"1021","545812.41"
"1013","16051"
"1012","923"
"12112","1"
"8329","115862.97"
"12111","4"
"12113","4.5"
"12121","1"
"22/27","47750.4"
"1023","571434.01"
"12123","1"
"8199P","126810.42"
"62","571434.01"
"10/49","965028.1"
"65","1300.76"
"66","0"
"21/28","47750.4"
"20/58","965028.1"
"10/11","100000"
"10/15","204038.57"
"75","470.45"
"1003P","13.2"
"1053","8.5"
"1052","1"
"1051","8"
"8259","0"
"450/3","4104.39"
"54/58","282340.18"
"630","9901.85"
"65/66B","1300.76"
"6502","0"
"691/2","16857.71"
"8329P","105961.12"
"1013P","19811"
"9903","27202.67"
"9900","979101.07"
"9901","28032.98"
"9906","16857.71"
"9904","16857.71"
"9905","16857.71"
"42/48","760989.53"
"8279","9901.85"
"2053","373.2"
"2052","5"
"2051","371"
"440/4","151919.18"
"8169","36802.95"
"47/48","526890.27"
"1023P","626573.24"
"66A","0"
"640/8","369732.23"
"50/53","410000"
"490/1","31697.18"
"3053","377.5"
"3052","5"
"3051","375"
"30/36","7677.57"
"29/58","917277.7"
"17/49","760989.53"
"8199","163613.37"
"58132","1224"
"58131","2012"
"694","0"
"1311","842.89"
"8259P","0"
"1203","3"
"1323","2"
"1201","3"
"1321","2"
"67/77","10344.96"
"5803","807"
