
"Reference number","2025-00406860"
"Entity number","0449419608"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","HEYZEL HOTEL"
"Entity address street","Avenue Houba de Strooper"
"Entity address number","600"
"Entity postal code","1020"
"Entity city","Laeken"
"Entity country","Belgique"
"General assembly date","2025-05-07"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","65314.65"
"454/9","56377.15"
"10","173525.47"
"13","115733.04"
"14","377459.51"
"15","8045.38"
"17","164001.48"
"3","1517"
"22","724303.88"
"23","248959.28"
"24","12217.99"
"26","3910.84"
"28","430.46"
"29","12100"
"130","17352.55"
"133","98380.49"
"130/1","17352.55"
"40","59480.58"
"41","5834.07"
"42","73090.84"
"43","7103.21"
"44","92380.5"
"45","58812.50"
"14P","450041.31"
"8329","2296895.02"
"22/27","989391.99"
"8199P","3100291.49"
"62","429095.66"
"10/49","1070151.93"
"65","4277.17"
"66","3773.53"
"21/28","989822.45"
"20/58","1070151.93"
"291","12100"
"10/11","173525.47"
"10/15","674763.40"
"170/4","164001.48"
"8395P","430.46"
"8912","164001.48"
"450/3","2435.35"
"630","111701.22"
"65/66B","4277.17"
"8329P","2185193.80"
"9903","-85674.94"
"9900","527516.35"
"9901","-81397.77"
"9906","377459.51"
"9904","-72581.80"
"9905","-72581.8"
"42/48","231387.05"
"8279","111701.22"
"8395","430.46"
"440/4","92380.50"
"8169","185995.52"
"172/3","164001.48"
"66A","3773.53"
"640/8","64343.71"
"490/1","1397.83"
"30/36","1517.00"
"29/58","80329.48"
"17/49","395388.53"
"8199","3286287.01"
"430/8","7103.21"
"100","173525.47"
"67/77","-13093.14"
