
"Reference number","2025-00069672"
"Entity number","0436434474"
"Accounting period start date","2023-10-01"
"Accounting period end date","2024-09-30"
"Model code","m81-f-p"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","SUPPERDELUX"
"Entity address street","Dok-Noord"
"Entity address number","4E"
"Entity address box","005"
"Entity postal code","9000"
"Entity city","Gent"
"Entity country","België"
"General assembly date","2025-03-31"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
