
"Reference number","2025-00203256"
"Entity number","0466402031"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","CARNAC"
"Entity address street","Izegemstraat"
"Entity address number","121"
"Entity postal code","8770"
"Entity city","Ingelmunster"
"Entity country","België"
"General assembly date","2025-06-06"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","9667.22"
"111","20451.21"
"13","37680.91"
"17","76530.31"
"3","995.12"
"22","123929.56"
"23","344.93"
"24","16491.2"
"75/76B","286.46"
"133","37680.91"
"6921","12843.16"
"8129P","24789.35"
"40","220"
"41","9447.22"
"42","18778.43"
"44","544.9"
"45","3450.96"
"8329","515863.81"
"22/27","140765.69"
"8199P","639660.12"
"10/49","157436.72"
"65","3210.46"
"21/28","140765.69"
"20/58","157436.72"
"10/11","20451.21"
"10/15","58132.12"
"75","286.46"
"170/4","76530.31"
"8913","76530.31"
"450/3","3450.96"
"54/58","6008.69"
"630","17413.26"
"65/66B","3210.46"
"8129","24789.35"
"8059P","24789.35"
"691/2","12843.16"
"8329P","498450.55"
"9903","23109.62"
"9900","48274.22"
"9901","26033.62"
"9906","12843.16"
"9904","12843.16"
"9905","12843.16"
"42/48","22774.29"
"8279","17413.26"
"440/4","544.9"
"8169","16969.38"
"172/3","76530.31"
"8059","24789.35"
"640/8","4827.34"
"30/36","995.12"
"29/58","16671.03"
"17/49","99304.6"
"8199","656629.5"
"67/77","10266.46"
