
"Reference number","2025-00281898"
"Entity number","0473569044"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","HOTEL DE FLANDRE SA"
"Entity address street","PLACE DE LA STATION"
"Entity address number","14"
"Entity postal code","5000"
"Entity city","Namur"
"Entity country","Belgique"
"General assembly date","2025-05-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","124344.9"
"1341","3"
"454/9","47348.23"
"1213","2"
"1211","2"
"10","494237.63"
"13","7500"
"14","-238060.63"
"15","7440.41"
"17","1432942"
"3","2144.47"
"1103","5.4"
"1102","1"
"1343","3.4"
"1101","5"
"1342","1"
"21","2413.93"
"22","1678304.74"
"23","165170.02"
"24","33797.02"
"12011","2"
"28","229.33"
"75/76B","1838.18"
"9087","6.1"
"130","7500"
"1113","0.7"
"1112","1"
"12013","3.1"
"12012","2"
"1011","8312"
"1003","6.1"
"1002","2.5"
"1001","4.9"
"130/1","7500"
"8129P","102439.82"
"40","68170.65"
"41","56174.25"
"42","89620.67"
"43","160000"
"44","29167.17"
"45","47906.92"
"46","2025"
"1022","64418.01"
"1021","254608.88"
"14P","-199384.01"
"1013","10415"
"1012","2103"
"8329","3047810.71"
"12111","1"
"12113","1"
"22/27","1877271.78"
"1023","319026.89"
"12001","1"
"12003","1"
"8199P","4879672.09"
"62","319026.89"
"10/49","2032779.17"
"65","20754.39"
"21/28","1879915.04"
"20/58","2032779.17"
"175","430000"
"10/11","494237.63"
"10/15","271117.41"
"75","1838.18"
"170/4","452942"
"1003P","6.1"
"1053","6.1"
"1052","2"
"1051","5"
"178/9","550000"
"8395P","229.33"
"12101","1"
"8912","1432942"
"12103","1"
"450/3","558.69"
"54/58","25457.33"
"630","160595.05"
"65/66B","20754.39"
"8129","103375.89"
"8059P","102439.82"
"8329P","2888151.73"
"8029","3350"
"1013P","10156"
"9903","-38392.84"
"9900","506514.08"
"9901","-19476.63"
"9906","-238060.63"
"9904","-38676.62"
"9905","-38676.62"
"42/48","328719.76"
"8279","159658.98"
"2053","1.3"
"2052","1"
"2051","1"
"8395","229.33"
"440/4","29167.17"
"8169","45410.4"
"1023P","306638.61"
"172/3","452942"
"8059","105789.82"
"640/8","46368.77"
"490/1","917.43"
"3053","1.3"
"3052","1"
"3051","1"
"30/36","2144.47"
"29/58","152864.13"
"8079","936.07"
"17/49","1761661.76"
"8199","4925082.49"
"430/8","160000"
"100","494237.63"
"1203","4.1"
"1323","2.7"
"1202","2"
"1322","1"
"1201","3"
"1321","2"
"67/77","283.78"
