
"Reference number","2023-00236069"
"Entity number","0460822848"
"Accounting period start date","2022-04-01"
"Accounting period end date","2022-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Brussels Waerboom Event"
"Entity address street","Jozef Mertensstraat"
"Entity address number","140/a"
"Entity postal code","1702"
"Entity city","Groot-Bijgaarden"
"Entity country","België"
"General assembly date","2023-06-05"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","646998.12"
"12031","0"
"12033","0"
"492/3","37378.52"
"12032","0"
"58033","0"
"1341","1"
"454/9","139780.88"
"58032","0"
"58031","0"
"1213","12.2"
"1333","0"
"1212","18"
"1332","0"
"1211","8"
"1331","0"
"8525","0"
"5811","0"
"5812","0"
"5813","0"
"10","162000"
"13","634418.17"
"14","0"
"17","227882.12"
"3","188298.53"
"1103","34"
"1102","38"
"1343","1"
"1101","23"
"1342","0"
"5821","38"
"5822","607"
"5823","15417.61"
"22","127652.69"
"23","100429.87"
"24","79874.62"
"12132","0"
"12011","0"
"28","6324.02"
"12131","0"
"29","65110.93"
"1121","0"
"75/76B","90.58"
"9087","36.8"
"130","16200"
"133","618218.17"
"1113","0.2"
"1112","3"
"1111","0"
"12013","0"
"5831","24"
"12133","0"
"12012","0"
"5832","383"
"5833","9737.44"
"6921","618218.17"
"12022","0"
"5851","0"
"12021","0"
"1132","0"
"1011","22437"
"1131","0"
"1003","36.8"
"1123","0"
"1002","59.1"
"1122","0"
"1001","20.5"
"5841","0"
"5842","0"
"12023","0"
"5843","0"
"130/1","16200"
"40","646998.12"
"41","0"
"44","533515.38"
"45","188467.45"
"46","4212.5"
"1022","687059.37"
"1021","570692.69"
"14P","-193571.22"
"1013","49449"
"1133","0"
"1012","27012"
"5852","0"
"12112","0"
"8329","1528162.68"
"5853","0"
"12111","0"
"12113","0"
"12121","0"
"22/27","307957.18"
"1023","1257752.06"
"12123","0"
"12002","23"
"12122","0"
"12001","15"
"12003","22"
"8199P","1756957.22"
"62","1257752.06"
"10/49","1832323.97"
"65","5272.07"
"66","6315.74"
"21/28","314281.2"
"20/58","1832323.97"
"290","0"
"291","65110.93"
"10/11","162000"
"10/15","796418.17"
"75","90.58"
"76","0"
"170/4","0"
"1003P","29.2"
"631/4","13908.55"
"1053","34.2"
"1052","41"
"1051","23"
"178/9","227882.12"
"8395P","6324.02"
"12101","8"
"8912","227882.12"
"8913","0"
"12103","12.2"
"12102","18"
"450/3","48686.57"
"54/58","596378.26"
"630","104470.62"
"65/66B","5272.07"
"6502","0"
"691/2","618218.17"
"8329P","1423692.06"
"1013P","39341"
"9903","811789.39"
"9900","2222699.01"
"9901","816970.88"
"9906","618218.17"
"9904","811789.39"
"9905","811789.39"
"42/48","770645.16"
"76A","0"
"8279","104470.62"
"2053","20.3"
"2052","95"
"2051","5"
"8395","6324.02"
"440/4","533515.38"
"8721","0"
"8722","0"
"8169","79162.64"
"47/48","44449.83"
"1023P","446598"
"66A","6315.74"
"8732","0"
"8731","0"
"640/8","23281.16"
"490/1","21256.93"
"3053","9.3"
"3052","56"
"3051","4"
"30/36","188298.53"
"29/58","1518042.77"
"1303","0"
"1302","0"
"1301","0"
"17/49","1035905.8"
"8199","1836119.86"
"58132","0"
"58131","0"
"58133","0"
"174/0","0"
"100","162000"
"1203","22"
"1323","33.2"
"1202","23"
"1322","41"
"1201","15"
"1321","22"
"5801","0"
"5802","0"
"5803","0"
