
"Reference number","2024-00221259"
"Entity number","0668767191"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","B&B DE HANEWIJKHOEVE"
"Entity address street","Hanewijk"
"Entity address number","68"
"Entity postal code","3118"
"Entity city","Werchter"
"Entity country","België"
"General assembly date","2024-05-06"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap met beperkte aansprakelijkheid"
"40/41","2862.84"
"454/9","0"
"111","6200"
"13","12080"
"14","-26642.73"
"17","0"
"3","590.3"
"23","5585.52"
"24","8639.49"
"26","30049.45"
"75/76B","0"
"132","12080"
"40","1033.5"
"41","1829.34"
"42","4242.5"
"44","8653.97"
"45","2600"
"14P","-25854.42"
"8329","51832.34"
"22/27","44274.46"
"8199P","89733.09"
"62","1271.31"
"10/49","47932.35"
"65","515.26"
"21/28","44274.46"
"20/58","47932.35"
"10/11","6200"
"10/15","-8362.73"
"75","0"
"170/4","0"
"450/3","2600"
"54/58","204.75"
"630","9725.36"
"65/66B","515.26"
"8329P","40817.12"
"9903","811.69"
"9900","16111.07"
"9901","1326.95"
"9906","-26642.73"
"9904","-788.31"
"9905","-788.31"
"42/48","56295.08"
"8279","11015.22"
"440/4","8653.97"
"8722","0"
"8169","6373.71"
"47/48","40798.61"
"172/3","0"
"640/8","3787.45"
"30/36","590.3"
"29/58","3657.89"
"17/49","56295.08"
"8199","96106.8"
"67/77","1600"
