
"Reference number","2024-00405362"
"Entity number","0645909538"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","KONG WAH"
"Entity address street","Minervastraat"
"Entity address number","1"
"Entity postal code","1930"
"Entity city","Zaventem"
"Entity country","België"
"General assembly date","2024-02-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","0"
"111","6888"
"8455P","0"
"8525","0"
"14","-900428.41"
"17","707914.2"
"22","6515583.74"
"23","623446.55"
"28","522"
"8555","0"
"75/76B","0"
"40","0"
"41","0"
"42","258168.93"
"44","97035.63"
"45","0"
"8455","0"
"14P","-755900.6"
"8329","862881.86"
"22/27","7139030.29"
"8199P","7606385.6"
"10/49","7156045.86"
"8555P","0"
"65","136429.14"
"21/28","7139552.29"
"20/58","7156045.86"
"10/11","6888"
"10/15","-893540.41"
"75","0"
"170/4","707914.2"
"8395P","522"
"450/3","0"
"54/58","1222.75"
"630","406460.53"
"65/66B","136429.14"
"8329P","456421.33"
"9903","-144527.81"
"9900","545614.49"
"9901","-8098.67"
"9906","-900428.41"
"9904","-144527.81"
"9905","-144527.81"
"42/48","7341672.07"
"8279","406460.53"
"8395","522"
"440/4","97035.63"
"8169","395526.55"
"47/48","6986467.51"
"172/3","707914.2"
"8525P","0"
"640/8","147252.63"
"490/1","15270.82"
"29/58","16493.57"
"17/49","8049586.27"
"8199","8001912.15"
