
"Reference number","2022-20345929"
"Entity number","0421568037"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","THE NEW GALAXY"
"Entity address street","RUE DU PROGRES"
"Entity address number","7A"
"Entity postal code","1210"
"Entity city","Saint-Josse-ten-Noode"
"Entity country","Belgique"
"General assembly date","2022-05-02"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société privée à responsabilité limitée"
"40/41","25375.75"
"1341","4"
"454/9","35097.19"
"111","18592.01"
"1213","0.3"
"1212","1"
"13","6879.2"
"14","-35260.07"
"17","52254.7"
"1103","3.8"
"1102","2"
"1343","4"
"1101","3"
"22","218997.48"
"23","120873.1"
"24","4739.52"
"12011","2"
"75/76B","10.66"
"133","5000"
"1113","1.3"
"1112","1"
"1111","1"
"12013","2.6"
"12012","1"
"1011","4201"
"1003","6.1"
"1002","3.4"
"1001","4.5"
"130/1","1879.2"
"8129P","99157.41"
"40","22677.87"
"41","2697.88"
"42","7885.71"
"44","27151.45"
"45","55409.3"
"1022","7285.66"
"1021","137869.76"
"14P","-39429.74"
"1013","4423"
"1012","222"
"12112","1"
"8329","456314.93"
"12113","0.3"
"22/27","344610.1"
"1023","145155.42"
"12002","1"
"12001","2"
"12003","2.2"
"8199P","800925.03"
"62","145155.42"
"10/49","393782.3"
"65","6544.16"
"21/28","344610.1"
"20/58","393782.3"
"70","380936.37"
"10/11","18592.01"
"10/15","-9788.86"
"75","10.66"
"170/4","52254.7"
"1003P","5.1"
"1053","5.1"
"1052","3"
"1051","4"
"450/3","20312.11"
"54/58","23796.45"
"630","33222.86"
"65/66B","6544.16"
"8129","99157.41"
"8059P","99157.41"
"8329P","423092.07"
"1013P","4466"
"9903","4169.67"
"9900","190089.59"
"9901","10703.17"
"9906","-35260.07"
"9904","4169.67"
"9905","4169.67"
"60/61","255708.05"
"42/48","351316.46"
"8279","33222.86"
"440/4","27151.45"
"47/48","260870"
"1023P","98641.98"
"8059","99157.41"
"640/8","1008.14"
"29/58","49172.2"
"17/49","403571.16"
"8199","800925.03"
"1311","1879.2"
"174/0","52254.7"
"1203","4.8"
"1323","1.1"
"1202","2"
"1322","3"
"1201","4"
