
"Reference number","2024-00517763"
"Entity number","0445874257"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LE RHODES"
"Entity address street","Route des Hazettes,Mogimont"
"Entity address number","31"
"Entity postal code","6833"
"Entity city","Ucimont"
"Entity country","Belgique"
"General assembly date","2024-05-31"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","5978.58"
"1213","0.5"
"1212","1"
"10","407000"
"13","17352.55"
"14","-537642.62"
"1103","0.5"
"1102","1"
"22","543481.26"
"130","17352.55"
"1003","0.5"
"1002","1.0"
"130/1","17352.55"
"40","5205.95"
"41","772.63"
"1022","11264"
"14P","-525125.93"
"1013","208"
"1012","208"
"8329","1092809.91"
"22/27","543481.26"
"1023","11264"
"8199P","1636291.17"
"62","11685.38"
"10/49","555299.99"
"65","334.41"
"21/28","543481.26"
"20/58","555299.99"
"10/11","407000"
"10/15","-113290.07"
"1003P","0.5"
"1053","0.5"
"1052","1"
"12103","0.5"
"12102","1"
"54/58","5840.15"
"630","44957.22"
"65/66B","334.42"
"8329P","1047852.69"
"1013P","244"
"9903","-12516.69"
"9900","61599.40"
"9901","-12182.27"
"9906","-537642.62"
"9904","-12516.69"
"9905","-12516.69"
"42/48","668590.06"
"8279","44957.22"
"47/48","668590.06"
"1023P","6554"
"66B","0.01"
"91611","268615"
"640/8","17139.07"
"29/58","11818.73"
"17/49","668590.06"
"8199","1636291.17"
"91621","427350"
"100","407000"
"1323","0.5"
"1322","1"
