
"Reference number","2022-20309941"
"Entity number","0460162456"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","CAMPING DES MONTS ROSES"
"Entity address street","RUE DE LA-HAUT"
"Entity address number","17"
"Entity postal code","6470"
"Entity city","Sivry-Rance"
"Entity country","Belgique"
"General assembly date","2022-06-06"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","68571.83"
"10","61500"
"13","13607.17"
"14","124377.4"
"22","134774.75"
"23","8922.4"
"26","1888.98"
"75/76B","14227.25"
"130","12462.17"
"133","1145"
"130/1","12462.17"
"40","5000"
"41","63571.83"
"43","257.46"
"44","11607.1"
"45","5407.27"
"14P","108478.65"
"8329","727192.16"
"22/27","145586.13"
"8199P","872778.29"
"62","152.19"
"10/49","216756.4"
"65","225.96"
"21/28","145586.13"
"20/58","216756.4"
"10/11","61500"
"10/15","199484.57"
"75","14227.25"
"450/3","5407.27"
"54/58","607"
"630","3494.04"
"65/66B","225.96"
"8329P","723698.12"
"9903","32951.48"
"9900","27719.64"
"9901","18950.19"
"9906","124377.4"
"9904","29044.21"
"9905","15898.75"
"42/48","17271.83"
"8279","3494.04"
"440/4","11607.1"
"640/8","5123.22"
"490/1","1991.44"
"29/58","71170.27"
"689","13145.46"
"17/49","17271.83"
"8199","872778.29"
"430/8","257.46"
"100","61500"
"67/77","3907.27"
