
"Reference number","2022-20297198"
"Entity number","0431164505"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LIME INVEST"
"Entity address street","RUE CHARLES DUBOIS"
"Entity address number","87"
"Entity postal code","1342"
"Entity city","Limelette"
"Entity country","Belgique"
"General assembly date","2022-05-31"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","554321.73"
"111","3108584.8"
"12","11330000"
"13","1104257.89"
"14","-11801355.33"
"17","1110000"
"22","10030759.2"
"23","16836.62"
"27","1024.52"
"132","1025599.89"
"133","18750"
"130/1","59908"
"40","2361.05"
"41","551960.68"
"44","235429.7"
"45","92275.31"
"46","10320.52"
"14P","-10924538.23"
"8329","4182816.31"
"22/27","10048620.34"
"8199P","2931731.65"
"10/49","10750947.27"
"65","413730.41"
"21/28","10048620.34"
"20/58","10750947.27"
"10/11","3108584.8"
"10/15","3741487.36"
"170/4","1110000"
"8259","11330000"
"450/3","92275.31"
"54/58","62754.86"
"630","194697.84"
"65/66B","413730.41"
"8329P","3988118.47"
"9903","-876817.1"
"9900","-268188.85"
"9901","-463086.69"
"9906","-11801355.33"
"9904","-876817.1"
"9905","-876817.1"
"42/48","5899459.91"
"8279","194697.84"
"440/4","235429.7"
"47/48","5561434.38"
"172/3","1110000"
"8179","30295"
"640/8","200"
"490/1","85250.34"
"29/58","702326.93"
"17/49","7009459.91"
"8199","2901436.65"
"1311","59908"
"8259P","11330000"
