
"Reference number","2023-00408477"
"Entity number","0455887033"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","R.D.I."
"Entity address street","Rue de Bohain"
"Entity address number","94"
"Entity postal code","5550"
"Entity city","Vresse-sur-Semois"
"Entity country","Belgique"
"General assembly date","2023-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","2015.47"
"454/9","10000"
"11","19831.48"
"13","66040.97"
"14","-83999.76"
"17","355137.04"
"22","363737.8"
"23","35453.42"
"24","51544.03"
"75/76B","0.02"
"130","18983.15"
"133","47057.82"
"130/1","18983.15"
"40","1382.5"
"41","632.97"
"42","28845.34"
"44","8835.47"
"45","10410.34"
"14P","-35239.27"
"8329","134522.91"
"22/27","450735.25"
"8199P","584081.53"
"10/49","455773.89"
"65","9950.97"
"21/28","450735.25"
"20/58","455773.89"
"10/11","19831.48"
"10/15","1872.69"
"75","0.02"
"170/4","355137.04"
"450/3","410.34"
"54/58","2303.75"
"630","37690.02"
"65/66B","9950.97"
"8329P","96832.89"
"9903","-48881.51"
"9900","1250.51"
"9901","-38930.56"
"9906","-83999.76"
"9904","-48760.49"
"9905","-48760.49"
"42/48","98764.16"
"8279","37690.02"
"440/4","8835.47"
"8169","1176.63"
"47/48","50673.01"
"172/3","355137.04"
"640/8","2491.05"
"490/1","719.42"
"1109/19","19831.48"
"29/58","5038.64"
"17/49","453901.2"
"8199","585258.16"
"67/77","-121.02"
