
"Reference number","2023-00122353"
"Entity number","0435296705"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Quichotte"
"Entity address street","Hasseltweg"
"Entity address number","331"
"Entity postal code","3600"
"Entity city","Genk"
"Entity country","België"
"General assembly date","2023-05-31"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","12502.72"
"9500","12502.72"
"10","62000"
"13","6200"
"14","-41997.44"
"23","3276.06"
"24","5494.93"
"26","12838.11"
"75/76B","1012.11"
"130","6200"
"1003","0.1"
"1002","0.1"
"130/1","6200"
"41","12502.72"
"44","11048.61"
"45","502.97"
"1022","9447.61"
"14P","-59373.59"
"8329","17601.94"
"22/27","21609.1"
"1023","9447.61"
"8199P","20557.6"
"62","9447.61"
"10/49","59056.68"
"65","201.06"
"21/28","21609.1"
"20/58","59056.68"
"10/11","62000"
"10/15","26202.56"
"75","1012.11"
"1003P","0.3"
"450/3","502.97"
"54/58","24651.15"
"630","4448.33"
"65/66B","201.06"
"8329P","13153.61"
"1013P","202"
"9903","17453.98"
"9900","34684.34"
"9901","16642.93"
"9906","-41997.44"
"9904","17376.15"
"9905","17376.15"
"42/48","32854.12"
"76A","7364.31"
"8279","4448.33"
"440/4","11048.61"
"8169","23685.82"
"47/48","21302.54"
"1023P","2602.47"
"8179","5032.38"
"640/8","4145.47"
"490/1","293.71"
"3052","1"
"29/58","37447.58"
"17/49","32854.12"
"8199","39211.04"
"100","62000"
"67/77","77.83"
