
"Reference number","2025-00256596"
"Entity number","0477855652"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Meinekom"
"Entity address street","Leeuwerikstraat"
"Entity address number","86"
"Entity postal code","3680"
"Entity city","Maaseik"
"Entity country","België"
"General assembly date","2025-06-26"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","5350.27"
"110","20000"
"13","26061.28"
"16","3648"
"17","14300"
"22","22904.01"
"23","559.34"
"24","42253.78"
"75/76B","149.74"
"132","11070.46"
"133","14990.82"
"6921","12505.06"
"8309","28000"
"41","5350.27"
"44","1654.39"
"45","1511.89"
"8329","110961.52"
"22/27","65717.13"
"168","3648"
"8199P","163421.03"
"10/49","85637.07"
"65","209.99"
"21/28","65717.13"
"20/58","85637.07"
"10/11","20000"
"10/15","46061.28"
"75","149.74"
"170/4","14300"
"450/3","1511.89"
"54/58","13420.61"
"630","2771.13"
"65/66B","209.99"
"691/2","12505.06"
"8329P","136190.39"
"9903","28638.89"
"9900","39663.73"
"9901","28699.14"
"9906","12505.06"
"9904","23449.08"
"9905","12505.06"
"42/48","21627.79"
"76A","14600"
"8279","2771.13"
"440/4","1654.39"
"8169","41257.62"
"47/48","18461.51"
"780","2"
"789","5.98"
"8179","28000"
"640/8","8193.46"
"490/1","1149.06"
"680","3650"
"29/58","19919.94"
"689","10950"
"17/49","35927.79"
"8199","176678.65"
"174/0","14300"
"67/77","1541.81"
