
"Reference number","2025-00503520"
"Entity number","0432439460"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","MARIE SOPHIE"
"Entity address street","Avenue Charles Albert"
"Entity address number","11"
"Entity postal code","1170"
"Entity city","Watermael-Boitsfort"
"Entity country","Belgique"
"General assembly date","2025-09-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","49709.71"
"492/3","4066.41"
"454/9","40854.05"
"1213","2"
"1211","2"
"10","62000"
"13","6200"
"14","-53699.42"
"17","115250"
"1103","3"
"1101","3"
"21","150136.99"
"23","2123.04"
"24","7130.2"
"26","83876.48"
"12011","1"
"28","50"
"130","6200"
"12013","1"
"8309","57.86"
"1011","3779"
"1003","3"
"1001","3"
"130/1","6200"
"8129P","249863.01"
"40","42783.43"
"41","6926.28"
"44","56023.23"
"45","42647.27"
"46","50000"
"1021","117308.19"
"14P","2731.61"
"791/2","73100"
"1013","3779"
"8329","288180.02"
"12111","2"
"12113","2"
"22/27","93129.72"
"1023","117308.19"
"8199P","390142.85"
"62","117308.19"
"10/49","323287.97"
"65","6250.2"
"21/28","243316.71"
"20/58","323287.97"
"10/11","62000"
"10/15","14500.58"
"1003P","5.1"
"1053","3"
"1051","3"
"178/9","115250"
"8395P","50"
"450/3","1793.22"
"54/58","30261.55"
"630","137675.67"
"65/66B","6250.2"
"8129","349863.01"
"8059P","500000"
"8329P","250562.21"
"1013P","6425"
"9903","-129531.03"
"9900","151008.5"
"9901","-123280.83"
"9906","-126799.42"
"9904","-129531.03"
"9905","-129531.03"
"42/48","189470.98"
"8279","37675.67"
"8395","50"
"440/4","56023.23"
"8169","7915"
"47/48","40800.48"
"1023P","222134.21"
"8179","16748.11"
"66A","3142.14"
"8059","500000"
"640/8","16163.33"
"29/58","79971.26"
"8079","100000"
"17/49","308787.39"
"8199","381309.74"
"100","62000"
"1203","1"
"1323","3"
"1201","1"
"1321","3"
