
"Reference number","2025-00303556"
"Entity number","0412527934"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m04-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","KOMPAS CAMPING"
"Entity address street","Brugse Steenweg"
"Entity address number","49"
"Entity postal code","8620"
"Entity city","Nieuwpoort"
"Entity country","België"
"General assembly date","2025-06-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Vereniging zonder winstoogmerk"
"40/41","1343111.39"
"12031","0"
"492/3","3648127.78"
"12032","0"
"1341","9"
"454/9","178884.47"
"1213","9.2"
"1212","1"
"1332","0"
"1211","9"
"1331","0"
"10","899063.50"
"13","1991392.49"
"14","730731.29"
"15","308000.02"
"17","7621852.23"
"3","44735.44"
"1103","23.2"
"1102","1"
"1343","9.2"
"1101","23"
"1342","1"
"5821","13"
"5822","271"
"5823","12398.84"
"21","4938.23"
"22","10361124.63"
"23","4391330.21"
"24","92349.41"
"26","0.00"
"27","8000.00"
"12132","0"
"12011","13"
"28","64874.21"
"12131","0"
"1121","0"
"75/76B","33845.69"
"9087","24.6"
"1112","0"
"1111","0"
"12013","13.0"
"5831","3"
"12012","0"
"5832","17"
"5833","947.42"
"8309","704710.15"
"12022","0"
"12021","0"
"1132","0"
"1011","38798"
"1131","0"
"1003","24.6"
"1002","1.0"
"1122","0"
"1001","24.4"
"8129P","44340.89"
"40","1336404.52"
"41","6706.87"
"42","975022.89"
"44","748652.27"
"45","198193.61"
"48","33715.53"
"14P","762411.25"
"1013","39154"
"1012","356"
"12112","1"
"8329","17586256.40"
"12111","7"
"12113","7.2"
"12121","1"
"22/27","14852804.25"
"1023","1612838.27"
"12123","1.0"
"12002","0"
"12122","0"
"12001","1"
"12003","1.0"
"8199P","29835343.12"
"62","1612838.27"
"10/49","17154751.61"
"65","212593.37"
"66","25146.11"
"21/28","14922616.69"
"20/58","17154751.61"
"8349","14844804.25"
"10/15","3929187.30"
"75","33845.69"
"170/4","7274801.31"
"1003P","24"
"1053","23.2"
"1052","1"
"1051","23"
"178/9","347050.92"
"8395P","64874.21"
"12101","1"
"8912","2908049.71"
"8913","4713802.52"
"12103","1.0"
"12102","0"
"450/3","19309.14"
"54/58","568957.60"
"630","1968673.94"
"65/66B","212593.37"
"8129","50148.88"
"8059P","55087.11"
"8329P","16328100.60"
"1013P","35582"
"9903","73301.19"
"9900","4182312.29"
"9901","252048.87"
"9906","730731.29"
"9904","-31679.96"
"9905","-31679.96"
"42/48","1955584.30"
"8279","1962865.95"
"2053","10.0"
"2052","0"
"2051","10"
"8395","64874.21"
"440/4","748652.27"
"8169","3371175.96"
"1023P","1501350.59"
"172/3","2975636.20"
"8179","767458.43"
"66A","25146.11"
"91611","1141849.94"
"8059","55087.11"
"640/8","323605.10"
"50/53","104336.59"
"490/1","170993.90"
"91721","2300000"
"3053","8.0"
"3052","0"
"3051","8"
"30/36","44735.44"
"29/58","2232134.92"
"1302","0"
"1301","0"
"8079","5807.99"
"17/49","13225564.31"
"8199","32439060.65"
"91631","525000.00"
"174/0","4299165.11"
"91621","25000.00"
"1203","14.0"
"1323","14.0"
"1202","0"
"1322","0"
"1201","14"
"1321","14"
"67/77","104981.15"
