
"Reference number","2024-00331577"
"Entity number","0419468976"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","WORLD HOTEL OBSERVATORY"
"Entity address street","Avenue des Statuaires"
"Entity address number","29"
"Entity postal code","1180"
"Entity city","Uccle"
"Entity country","Belgique"
"General assembly date","2022-05-17"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","9307.44"
"111","20460"
"13","19.83"
"14","128236.39"
"17","15654.4"
"24","37776.95"
"26","4058.15"
"75/76B","1.99"
"130/1","19.83"
"40","73.26"
"41","9234.18"
"42","6000"
"44","5939.99"
"45","3309.82"
"14P","124733.87"
"8329","78871.29"
"22/27","41835.1"
"8199P","116450.19"
"10/49","188255.01"
"65","211.86"
"21/28","41835.1"
"20/58","188255.01"
"10/11","20460"
"10/15","148716.22"
"75","1.99"
"170/4","15654.4"
"450/3","3309.82"
"54/58","134315.24"
"630","13211.36"
"65/66B","211.86"
"8329P","65659.93"
"9903","8062.7"
"9900","22349.71"
"9901","8272.57"
"9906","128236.39"
"9904","3502.52"
"9905","3502.52"
"42/48","23884.39"
"8279","13211.36"
"440/4","5939.99"
"8169","4256.2"
"47/48","8634.58"
"172/3","15654.4"
"640/8","865.78"
"490/1","2797.23"
"29/58","146419.91"
"17/49","39538.79"
"8199","120706.39"
"1319","19.83"
"67/77","4560.18"
