
"Reference number","2024-00541304"
"Entity number","0444205164"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m01-f"
"Deposit type","Correction"
"Language","fr"
"Currency","EUR"
"Entity name","HOTEL DES ARDENNES"
"Entity address street","Rue de la Hate,Corbion"
"Entity address number","1"
"Entity postal code","6838"
"Entity city","Corbion"
"Entity country","Belgique"
"General assembly date","2022-05-27"
"Liquidation flag","FALSE"
"Correction flag","TRUE"
"Legal form","Société anonyme"
"40/41","81691.02"
"1341","2"
"454/9","73205.09"
"58032","574"
"1213","8.7"
"1212","7"
"1211","5"
"5813","705"
"10","142499.40"
"13","193398.76"
"14","593536.52"
"15","41783.32"
"17","216353.33"
"3","93569"
"1103","2"
"1343","2"
"1101","2"
"22","499449.90"
"23","357958.25"
"24","63055.62"
"26","19771.63"
"12011","3"
"75/76B","14620.71"
"9087","11.1"
"130","8279.93"
"132","78080"
"133","107038.83"
"1113","12.5"
"1112","9"
"1111","8"
"12013","3.5"
"12012","1"
"12021","1"
"1011","9137"
"1003","11.1"
"1002","5.7"
"1001","8.1"
"12023","1"
"130/1","8279.93"
"40","31061.27"
"41","50629.75"
"42","12094.57"
"44","686.93"
"45","77972.40"
"1022","88410"
"1021","207955"
"14P","294675.50"
"1013","13423"
"1012","4286"
"12112","5"
"8329","3438916.51"
"12111","3"
"12113","5.5"
"12121","2"
"22/27","940235.40"
"1023","296365"
"12123","2"
"12002","1"
"12001","1"
"12003","1.3"
"8199P","3777577.16"
"62","312932.05"
"10/49","1469573.47"
"65","12658.04"
"21/28","940235.40"
"20/58","1469573.47"
"10/11","142499.40"
"10/15","971218"
"75","14572.71"
"76","48"
"170/4","216353.33"
"1003P","9.9"
"1053","14.5"
"1052","9"
"1051","10"
"8912","16353.33"
"8913","200000"
"12103","1.2"
"12102","2"
"450/3","4767.31"
"54/58","351939.69"
"630","181163.98"
"65/66B","12658.04"
"753","14445.83"
"8329P","3257752.53"
"1013P","9473"
"9903","376634.73"
"9900","911155.11"
"9901","374672.06"
"9906","593536.52"
"9904","298861.02"
"9905","298861.02"
"42/48","282002.14"
"76B","48"
"8279","181163.98"
"2053","22.4"
"2052","10"
"2051","17"
"440/4","686.93"
"8169","601574.75"
"47/48","191248.24"
"1023P","228005"
"640/8","42387.02"
"490/1","2138.36"
"3053","23"
"3052","7"
"3051","19"
"30/36","93569"
"29/58","529338.07"
"17/49","498355.47"
"8199","4379151.91"
"58132","705"
"174/0","216353.33"
"100","142499.40"
"1203","5.8"
"1323","12.5"
"1202","2"
"1322","9"
"1201","5"
"1321","8"
"67/77","77773.71"
"5803","574"
